state_id,suite,task_id,initial_state_index,condition,n_rows,valid_axes,degenerate_axes,invalid_rows,correct_donor_retrieval_rate,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_donor
libero_spatial_task02_state005_wait30,libero_spatial,2,5,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6898783627325827
libero_spatial_task02_state005_wait30,libero_spatial,2,5,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6898783627325827
libero_spatial_task02_state005_wait30,libero_spatial,2,5,future_recipient_cache_donor,12,12,0,0,1.0,0.6458529923752443,0.8591444407954425,0.9335224220143021,0.21899403143393584,0.3229389433894206,0.23994968103826297
libero_spatial_task02_state005_wait30,libero_spatial,2,5,future_donor_cache_donor,12,12,0,0,1.0,0.6458529923752443,0.8591444407954425,0.9335224220143021,0.21899403143393584,0.3229389433894206,0.23994968103826297
libero_spatial_task02_state006_wait30,libero_spatial,2,6,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.617809293190925
libero_spatial_task02_state006_wait30,libero_spatial,2,6,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.617809293190925
libero_spatial_task02_state006_wait30,libero_spatial,2,6,future_recipient_cache_donor,12,12,0,0,1.0,0.6388409578309278,0.8235995041939851,0.930431139154874,0.1901883078083517,0.31322995721468916,0.2178211676083037
libero_spatial_task02_state006_wait30,libero_spatial,2,6,future_donor_cache_donor,12,12,0,0,1.0,0.6388409578309278,0.8235995041939851,0.930431139154874,0.1901883078083517,0.31322995721468916,0.2178211676083037
libero_spatial_task03_state004_wait30,libero_spatial,3,4,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6665410826311088
libero_spatial_task03_state004_wait30,libero_spatial,3,4,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6665410826311088
libero_spatial_task03_state004_wait30,libero_spatial,3,4,future_recipient_cache_donor,12,12,0,0,1.0,0.5807502753133966,0.7889215366954687,0.9054115826832395,0.229559980372298,0.3579900927344843,0.2700252595161556
libero_spatial_task03_state004_wait30,libero_spatial,3,4,future_donor_cache_donor,12,12,0,0,1.0,0.5807502753133966,0.7889215366954687,0.9054115826832395,0.229559980372298,0.3579900927344843,0.2700252595161556
libero_spatial_task03_state005_wait30,libero_spatial,3,5,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182707831628358
libero_spatial_task03_state005_wait30,libero_spatial,3,5,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182707831628358
libero_spatial_task03_state005_wait30,libero_spatial,3,5,future_recipient_cache_donor,12,12,0,0,1.0,0.5549993353132251,0.7916551929394897,0.8950341888490247,0.2385319201488966,0.38910504139810204,0.2730999201466948
libero_spatial_task03_state005_wait30,libero_spatial,3,5,future_donor_cache_donor,12,12,0,0,1.0,0.5549993353132251,0.7916551929394897,0.8950341888490247,0.2385319201488966,0.38910504139810204,0.2730999201466948
libero_spatial_task03_state006_wait30,libero_spatial,3,6,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6201739548016441
libero_spatial_task03_state006_wait30,libero_spatial,3,6,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6201739548016441
