state_id,suite,task_id,initial_state_index,run_id,condition,recipient_id,donor_id,future_source_id,cache_source_id,action_seed,array_finite,base_reference_max_abs_error,recipient_cache_future_swap_max_abs_error,donor_cache_future_swap_max_abs_error,axis_degenerate,correct_donor_retrieval,nearest_branch_id,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_recipient,distance_to_donor,native_recipient_to_donor_distance
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-6a9290665d695816248b,future_donor_cache_recipient,b01,b02,b02,b01,2017,true,,0.0,0.0,false,false,b01,0.0,0.0,0.0,0.0,0.0,0.0,0.6959014981976335,0.6959014981976335
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-cc61507ed7dd1fc1828d,future_recipient_cache_donor,b01,b02,b01,b02,2017,true,0.0,0.0,0.0,false,true,b02,0.5129274403117126,0.6710536277067025,0.8816330698341613,0.2499768485865645,0.35921297659797824,0.5296843333926816,0.3389545240180355,0.6959014981976335
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-fec5481008f7b66f2f79,future_donor_cache_donor,b01,b02,b02,b02,2017,true,0.0,0.0,0.0,false,true,b02,0.5129274403117126,0.6710536277067025,0.8816330698341613,0.2499768485865645,0.35921297659797824,0.5296843333926816,0.3389545240180355,0.6959014981976335
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-25427f33d1d4619d9013,future_recipient_cache_recipient,b01,b03,b01,b01,2017,true,0.0,0.0,0.0,false,false,b01,0.0,0.0,0.0,0.0,0.0,0.0,0.7429411490520157,0.7429411490520157
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-863afc59bbde0860da58,future_donor_cache_recipient,b01,b03,b03,b01,2017,true,,0.0,0.0,false,false,b01,0.0,0.0,0.0,0.0,0.0,0.0,0.7429411490520157,0.7429411490520157
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-598ef39407d3a6e94453,future_recipient_cache_donor,b01,b03,b01,b03,2017,true,0.0,0.0,0.0,false,true,b03,0.5934495996996193,0.9411566257032371,0.9195278531867835,0.2988625042170584,0.4022694187802136,0.7604163185645748,0.3020430215467218,0.7429411490520157
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-65945cc50b6d6506fca6,future_donor_cache_donor,b01,b03,b03,b03,2017,true,0.0,0.0,0.0,false,true,b03,0.5934495996996193,0.9411566257032371,0.9195278531867835,0.2988625042170584,0.4022694187802136,0.7604163185645748,0.3020430215467218,0.7429411490520157
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-2a11357ec03b88908b3c,future_recipient_cache_recipient,b02,b00,b02,b02,3019,true,0.0,0.0,0.0,false,false,b02,0.0,0.0,0.0,0.0,0.0,0.0,0.5843489602861011,0.5843489602861011
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-5127e8aa029c8164984b,future_donor_cache_recipient,b02,b00,b00,b02,3019,true,,0.0,0.0,false,false,b02,0.0,0.0,0.0,0.0,0.0,0.0,0.5843489602861011,0.5843489602861011
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-dfb0314449327ba63ea3,future_recipient_cache_donor,b02,b00,b02,b00,3019,true,0.0,0.0,0.0,false,true,b00,0.51108027762591,0.7970552917803637,0.8732247726798484,0.2599242638046622,0.4448100047570917,0.5333774826532002,0.2856997314326687,0.5843489602861011
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-b226825e2bcef38e7a9c,future_donor_cache_donor,b02,b00,b00,b00,3019,true,0.0,0.0,0.0,false,true,b00,0.51108027762591,0.7970552917803637,0.8732247726798484,0.2599242638046622,0.4448100047570917,0.5333774826532002,0.2856997314326687,0.5843489602861011
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-03431ffc6a32195e2e25,future_recipient_cache_recipient,b02,b01,b02,b02,3019,true,0.0,0.0,0.0,false,false,b02,0.0,0.0,0.0,0.0,0.0,0.0,0.6959014981976335,0.6959014981976335
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-864026a61cd25f0db71e,future_donor_cache_recipient,b02,b01,b01,b02,3019,true,,0.0,0.0,false,false,b02,0.0,0.0,0.0,0.0,0.0,0.0,0.6959014981976335,0.6959014981976335
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-4e187447d3ce684857c8,future_recipient_cache_donor,b02,b01,b02,b01,3019,true,0.0,0.0,0.0,false,true,b01,0.5188008827788197,0.6917635784884624,0.882047511237796,0.25714751449399786,0.36951711579872026,0.5457748075192903,0.334867186605598,0.6959014981976335
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-d41ea892d52e09132086,future_donor_cache_donor,b02,b01,b01,b01,3019,true,0.0,0.0,0.0,false,true,b01,0.5188008827788197,0.6917635784884624,0.882047511237796,0.25714751449399786,0.36951711579872026,0.5457748075192903,0.334867186605598,0.6959014981976335
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-ca50e16d02744591e800,future_recipient_cache_recipient,b02,b03,b02,b02,3019,true,0.0,0.0,0.0,false,false,b02,0.0,0.0,0.0,0.0,0.0,0.0,0.8311980614948234,0.8311980614948234
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-2628ed527e3025aea857,future_donor_cache_recipient,b02,b03,b03,b02,3019,true,,0.0,0.0,false,false,b02,0.0,0.0,0.0,0.0,0.0,0.0,0.8311980614948234,0.8311980614948234
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-94f939911164e9a80a2f,future_recipient_cache_donor,b02,b03,b02,b03,3019,true,0.0,0.0,0.0,false,true,b03,0.6396898653601745,0.8903477191705993,0.9330720583833761,0.28528355895150803,0.34321971160333936,0.7931384201056733,0.2994890854495618,0.8311980614948234
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-a08997a9a4cbaaf5f3da,future_donor_cache_donor,b02,b03,b03,b03,3019,true,0.0,0.0,0.0,false,true,b03,0.6396898653601745,0.8903477191705993,0.9330720583833761,0.28528355895150803,0.34321971160333936,0.7931384201056733,0.2994890854495618,0.8311980614948234
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-ad9c4ed6fcc3bc2dd7c7,future_recipient_cache_recipient,b03,b00,b03,b03,4021,true,0.0,0.0,0.0,false,false,b03,0.0,0.0,0.0,0.0,0.0,0.0,0.8869324073047274,0.8869324073047274
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-23be36b11c7305c6c498,future_donor_cache_recipient,b03,b00,b00,b03,4021,true,,0.0,0.0,false,false,b03,0.0,0.0,0.0,0.0,0.0,0.0,0.8869324073047274,0.8869324073047274
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-0ec8d14074fc4877f331,future_recipient_cache_donor,b03,b00,b03,b00,4021,true,0.0,0.0,0.0,false,true,b00,0.6131975236109237,0.8960982641005406,0.9233649145993148,0.3304589045392841,0.3725863457210971,0.8607415963007068,0.3430676515351934,0.8869324073047274
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-a13074a6e61ee45cbe82,future_donor_cache_donor,b03,b00,b00,b00,4021,true,0.0,0.0,0.0,false,true,b00,0.6131975236109237,0.8960982641005406,0.9233649145993148,0.3304589045392841,0.3725863457210971,0.8607415963007068,0.3430676515351934,0.8869324073047274
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-e2cbecd598a96acefe5a,future_recipient_cache_recipient,b03,b01,b03,b03,4021,true,0.0,0.0,0.0,false,false,b03,0.0,0.0,0.0,0.0,0.0,0.0,0.7429411490520157,0.7429411490520157
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-6b2c0ac648a8128c1df8,future_donor_cache_recipient,b03,b01,b01,b03,4021,true,,0.0,0.0,false,false,b03,0.0,0.0,0.0,0.0,0.0,0.0,0.7429411490520157,0.7429411490520157
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-4259ca25ed1dafed29c9,future_recipient_cache_donor,b03,b01,b03,b01,4021,true,0.0,0.0,0.0,false,true,b01,0.5765723227757311,0.9501721377376424,0.9144579896261212,0.31239609208217906,0.4204856501498037,0.7719567085816947,0.31458184505742437,0.7429411490520157
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-642cb91792d5cba786fe,future_donor_cache_donor,b03,b01,b01,b01,4021,true,0.0,0.0,0.0,false,true,b01,0.5765723227757311,0.9501721377376424,0.9144579896261212,0.31239609208217906,0.4204856501498037,0.7719567085816947,0.31458184505742437,0.7429411490520157
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-f5b2ea6e7a9fbc03fd79,future_recipient_cache_recipient,b03,b02,b03,b03,4021,true,0.0,0.0,0.0,false,false,b03,0.0,0.0,0.0,0.0,0.0,0.0,0.8311980614948234,0.8311980614948234
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-62df002b784dfd193edb,future_donor_cache_recipient,b03,b02,b02,b03,4021,true,,0.0,0.0,false,false,b03,0.0,0.0,0.0,0.0,0.0,0.0,0.8311980614948234,0.8311980614948234
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-b229d311799b3c9fec1e,future_recipient_cache_donor,b03,b02,b03,b02,4021,true,0.0,0.0,0.0,false,true,b02,0.5950907094095695,0.8721033968692875,0.9151392727975257,0.31932936848936133,0.3841796357357723,0.7921096541784893,0.33655981742000995,0.8311980614948234
libero_spatial_task00_state004_wait30,libero_spatial,0,4,run-9d910574e95b20221d31,future_donor_cache_donor,b03,b02,b02,b02,4021,true,0.0,0.0,0.0,false,true,b02,0.5950907094095695,0.8721033968692875,0.9151392727975257,0.31932936848936133,0.3841796357357723,0.7921096541784893,0.33655981742000995,0.8311980614948234
libero_spatial_task00_state005_wait30,libero_spatial,0,5,run-99c0d35f5406774c8372,future_recipient_cache_recipient,b00,b01,b00,b00,1009,true,0.0,0.0,0.0,false,false,b00,0.0,0.0,0.0,0.0,0.0,0.0,0.655024725762625,0.655024725762625
libero_spatial_task00_state005_wait30,libero_spatial,0,5,run-af5345586b9191a5c95e,future_donor_cache_recipient,b00,b01,b01,b00,1009,true,,0.0,0.0,false,false,b00,0.0,0.0,0.0,0.0,0.0,0.0,0.655024725762625,0.655024725762625
libero_spatial_task00_state005_wait30,libero_spatial,0,5,run-d48f5151f395b6defb9f,future_recipient_cache_donor,b00,b01,b00,b01,1009,true,0.0,0.0,0.0,false,true,b01,0.6028051135798623,0.828553081583151,0.9178594592251078,0.2346869879775343,0.3582872199279126,0.5912917817526975,0.2601724715516677,0.655024725762625
libero_spatial_task00_state005_wait30,libero_spatial,0,5,run-01891f5f5d7645e20bbf,future_donor_cache_donor,b00,b01,b01,b01,1009,true,0.0,0.0,0.0,false,true,b01,0.6028051135798623,0.828553081583151,0.9178594592251078,0.2346869879775343,0.3582872199279126,0.5912917817526975,0.2601724715516677,0.655024725762625
libero_spatial_task00_state005_wait30,libero_spatial,0,5,run-cd7a8759136ca99e9295,future_recipient_cache_recipient,b00,b02,b00,b00,1009,true,0.0,0.0,0.0,false,false,b00,0.0,0.0,0.0,0.0,0.0,0.0,0.5489068874167573,0.5489068874167573
libero_spatial_task00_state005_wait30,libero_spatial,0,5,run-db9ee1d429bc63a43a6a,future_donor_cache_recipient,b00,b02,b02,b00,1009,true,,0.0,0.0,false,false,b00,0.0,0.0,0.0,0.0,0.0,0.0,0.5489068874167573,0.5489068874167573
libero_spatial_task00_state005_wait30,libero_spatial,0,5,run-4cf8203f0cb763bebad4,future_recipient_cache_donor,b00,b02,b00,b02,1009,true,0.0,0.0,0.0,false,true,b02,0.46466815165166886,0.8019136373790106,0.8498322413887622,0.2729905398450263,0.49733487792394626,0.5179562474017751,0.293847338611942,0.5489068874167573
libero_spatial_task00_state005_wait30,libero_spatial,0,5,run-3c3fd8b4b2266d34eae1,future_donor_cache_donor,b00,b02,b02,b02,1009,true,0.0,0.0,0.0,false,true,b02,0.46466815165166886,0.8019136373790106,0.8498322413887622,0.2729905398450263,0.49733487792394626,0.5179562474017751,0.293847338611942,0.5489068874167573
