action_donor_steering,action_l2_from_baseline,contrast,direction,gate,initial_state_index,max_abs_from_baseline,physical_endpoint_donor_steering,prefix_chunks,primary_pixel_donor_preference,proprio_endpoint_donor_steering,task_id,unit_id
0.10501046633152619,0.014978337101638317,block27_future_gate0.25,forward,0.25,10,0.006236135959625244,0.05735892711843183,0,0.14525349934895826,0.05735892711843183,0,task00_state10_prefix00
0.17684212088988308,0.025370415300130844,block27_future_gate0.5,forward,0.5,10,0.011084407567977905,0.08771706588520081,0,0.23981730143229174,0.08771706588520081,0,task00_state10_prefix00
0.2552302840375353,0.03700758144259453,block27_future_gate0.75,forward,0.75,10,0.017895430326461792,0.10393975436149652,0,0.31682332356770826,0.10393975436149652,0,task00_state10_prefix00
0.3180944487626665,0.047352228313684464,block27_future_gate1,forward,1.0,10,0.024782955646514893,0.10054891764881196,0,0.3734639485677085,0.10054891764881196,0,task00_state10_prefix00
0.0670760657352258,0.06835143268108368,block27_current_gate1,forward,1.0,10,0.013118196278810501,0.6170516295789824,0,0.863067626953125,0.6170516295789824,0,task00_state10_prefix00
0.06155785868585384,0.0500500351190567,block27_random_gate1,forward,1.0,10,0.01071929931640625,0.2685735396128467,0,0.3517049153645835,0.2685735396128467,0,task00_state10_prefix00
0.027894295999210252,0.010496148839592934,block0_future_gate1,forward,1.0,10,0.0036579370498657227,0.05573866056423075,0,0.02298990885416674,0.05573866056423075,0,task00_state10_prefix00
0.0,0.0,block27_all_key_control,forward,1.0,10,0.0,0.0,0,0.0,0.0,0,task00_state10_prefix00
0.0,0.0,block0_all_key_control,forward,1.0,10,0.0,0.0,0,0.0,0.0,0,task00_state10_prefix00
0.0561230812796445,0.010456789284944534,block27_future_gate0.25,reverse,0.25,10,0.0036533772945404053,0.11297677204684856,0,0.18420410156249978,0.11297677204684856,0,task00_state10_prefix00
0.09995071448129647,0.019461337476968765,block27_future_gate0.5,reverse,0.5,10,0.007506519556045532,0.2225205768743811,0,0.3017374674479165,0.2225205768743811,0,task00_state10_prefix00
0.13121152322345125,0.027041396126151085,block27_future_gate0.75,reverse,0.75,10,0.009436696767807007,0.31257749295964415,0,0.42963663736979174,0.31257749295964415,0,task00_state10_prefix00
