action_donor_steering,contrast,direction,future_noise_seed,initial_state_index,physical_endpoint_donor_steering,prefix_chunks,primary_pixel_donor_preference,proprio_endpoint_donor_steering,task_id,unit_id
0.2813481771358224,semantic_all_donor_minus_recipient,forward,401,10,0.29798204745409473,0,0.43611653645833326,0.29798204745409473,0,task00_state10_prefix00
0.1350548130517385,semantic_wrist_donor_minus_recipient,forward,401,10,0.17487801688971327,0,0.24537150065104169,0.17487801688971327,0,task00_state10_prefix00
0.10046232268740346,semantic_primary_donor_minus_recipient,forward,401,10,0.10510572409629856,0,0.10999552408854174,0.10510572409629856,0,task00_state10_prefix00
-0.006796278167910029,semantic_proprio_donor_minus_recipient,forward,401,10,-0.005226474686663093,0,-0.05951944986979163,-0.005226474686663093,0,task00_state10_prefix00
0.27008096304326806,semantic_all_donor_minus_gaussian,forward,401,10,0.285606912352478,0,0.41977945963541663,0.285606912352478,0,task00_state10_prefix00
0.11790981087676422,semantic_all_donor_minus_natural_control,forward,401,10,0.1057303886674969,0,0.11806233723958331,0.1057303886674969,0,task00_state10_prefix00
0.6434495517123652,semantic_all_donor_minus_shuffled,forward,401,10,0.6875600813655959,0,0.647003173828125,0.6875600813655959,0,task00_state10_prefix00
0.286076689639418,semantic_all_donor_minus_recipient,forward,409,10,0.29922963715058304,0,0.48415120442708337,0.29922963715058304,0,task00_state10_prefix00
0.18979006241968965,semantic_wrist_donor_minus_recipient,forward,409,10,0.2152268749471835,0,0.37555948893229163,0.2152268749471835,0,task00_state10_prefix00
0.06162247764616194,semantic_primary_donor_minus_recipient,forward,409,10,0.07242439244837053,0,0.08623250325520826,0.07242439244837053,0,task00_state10_prefix00
-0.005253070921300694,semantic_proprio_donor_minus_recipient,forward,409,10,-0.0035241051223619743,0,-0.017578125,-0.0035241051223619743,0,task00_state10_prefix00
0.2654015834663034,semantic_all_donor_minus_gaussian,forward,409,10,0.2705077131824716,0,0.4069925944010417,0.2705077131824716,0,task00_state10_prefix00
0.09612521636575022,semantic_all_donor_minus_natural_control,forward,409,10,0.08079076332264501,0,0.1898193359375001,0.08079076332264501,0,task00_state10_prefix00
0.6013344883767002,semantic_all_donor_minus_shuffled,forward,409,10,0.6754746766492759,0,0.8682963053385417,0.6754746766492759,0,task00_state10_prefix00
0.2788904878653221,semantic_all_donor_minus_recipient,forward,419,10,0.30459425969216625,0,0.2806803385416667,0.30459425969216625,0,task00_state10_prefix00
0.1803083773064963,semantic_wrist_donor_minus_recipient,forward,419,10,0.2080833458555752,0,0.18847656249999994,0.2080833458555752,0,task00_state10_prefix00
0.05485993648442822,semantic_primary_donor_minus_recipient,forward,419,10,0.0608601313108694,0,0.12831624348958326,0.0608601313108694,0,task00_state10_prefix00
-0.012215892573350495,semantic_proprio_donor_minus_recipient,forward,419,10,-0.02115097157477707,0,-0.010894775390624889,-0.02115097157477707,0,task00_state10_prefix00
0.2793881587408372,semantic_all_donor_minus_gaussian,forward,419,10,0.3092944031879248,0,0.28966267903645837,0.3092944031879248,0,task00_state10_prefix00
0.07118988286490324,semantic_all_donor_minus_natural_control,forward,419,10,0.09361838743824413,0,0.08449300130208343,0.09361838743824413,0,task00_state10_prefix00
0.4618527977808773,semantic_all_donor_minus_shuffled,forward,419,10,0.5195594644747346,0,0.766265869140625,0.5195594644747346,0,task00_state10_prefix00
0.2602774446065446,semantic_all_donor_minus_recipient,reverse,401,10,0.28879760125881637,0,0.428192138671875,0.28879760125881637,0,task00_state10_prefix00
0.1573477629099932,semantic_wrist_donor_minus_recipient,reverse,401,10,0.1949376347045766,0,0.29601033528645837,0.1949376347045766,0,task00_state10_prefix00
0.05950485999596008,semantic_primary_donor_minus_recipient,reverse,401,10,0.07082970859115459,0,-0.036590576171875,0.07082970859115459,0,task00_state10_prefix00
-0.03349746662055162,semantic_proprio_donor_minus_recipient,reverse,401,10,-0.031224825397727918,0,-0.01325480143229163,-0.031224825397727918,0,task00_state10_prefix00
0.24997702879177425,semantic_all_donor_minus_gaussian,reverse,401,10,0.27651791768367884,0,0.38683064778645837,0.27651791768367884,0,task00_state10_prefix00
0.1134504166799144,semantic_all_donor_minus_natural_control,reverse,401,10,0.13810480401453562,0,0.20838419596354169,0.13810480401453562,0,task00_state10_prefix00
-0.2870228476412072,semantic_all_donor_minus_shuffled,reverse,401,10,-0.34043281637362477,0,-0.147308349609375,-0.34043281637362477,0,task00_state10_prefix00
0.3405488934166313,semantic_all_donor_minus_recipient,reverse,409,10,0.3446380638663795,0,0.44226074218749994,0.3446380638663795,0,task00_state10_prefix00
0.21827728799662008,semantic_wrist_donor_minus_recipient,reverse,409,10,0.22027749158999219,0,0.33806355794270837,0.22027749158999219,0,task00_state10_prefix00
0.03822348918899131,semantic_primary_donor_minus_recipient,reverse,409,10,0.022533064766626622,0,-0.06798299153645826,0.022533064766626622,0,task00_state10_prefix00
0.032338165702655644,semantic_proprio_donor_minus_recipient,reverse,409,10,0.04335494712593524,0,-0.01926676432291663,0.04335494712593524,0,task00_state10_prefix00
0.3063010222050334,semantic_all_donor_minus_gaussian,reverse,409,10,0.3100076721007998,0,0.43621826171874994,0.3100076721007998,0,task00_state10_prefix00
0.17163701809698295,semantic_all_donor_minus_natural_control,reverse,409,10,0.17846779659613463,0,0.23085530598958326,0.17846779659613463,0,task00_state10_prefix00
-0.22962582131476322,semantic_all_donor_minus_shuffled,reverse,409,10,-0.29111255189213076,0,-0.24735514322916669,-0.29111255189213076,0,task00_state10_prefix00
0.24375938851014078,semantic_all_donor_minus_recipient,reverse,419,10,0.2683372832406834,0,0.2880452473958333,0.2683372832406834,0,task00_state10_prefix00
0.1878867129488171,semantic_wrist_donor_minus_recipient,reverse,419,10,0.21142562137030713,0,0.23271687825520831,0.21142562137030713,0,task00_state10_prefix00
0.029482273189409144,semantic_primary_donor_minus_recipient,reverse,419,10,0.0515366739725445,0,0.128997802734375,0.0515366739725445,0,task00_state10_prefix00
0.00873146435352291,semantic_proprio_donor_minus_recipient,reverse,419,10,0.011689423524042224,0,-0.01305135091145826,0.011689423524042224,0,task00_state10_prefix00
0.21709174873522297,semantic_all_donor_minus_gaussian,reverse,419,10,0.2424571465955372,0,0.27380371093749994,0.2424571465955372,0,task00_state10_prefix00
0.089361069338457,semantic_all_donor_minus_natural_control,reverse,419,10,0.12342376983430237,0,0.15536499023437494,0.12342376983430237,0,task00_state10_prefix00
-0.24355965748670583,semantic_all_donor_minus_shuffled,reverse,419,10,-0.26331154073597074,0,-0.45652262369791663,-0.26331154073597074,0,task00_state10_prefix00
0.03296494259348939,semantic_all_donor_minus_recipient,forward,401,27,0.04388277071108935,3,0.035125732421875,0.04388277071108935,0,task00_state27_prefix03
0.03973515976864375,semantic_wrist_donor_minus_recipient,forward,401,27,0.1688801147073165,3,0.02298990885416674,0.1688801147073165,0,task00_state27_prefix03
-0.01800951064926393,semantic_primary_donor_minus_recipient,forward,401,27,0.041281968910121807,3,-0.001098632812500111,0.041281968910121807,0,task00_state27_prefix03
0.015765521557954614,semantic_proprio_donor_minus_recipient,forward,401,27,-0.030175430168226366,3,0.0007425944010416297,-0.030175430168226366,0,task00_state27_prefix03
0.06430389461484355,semantic_all_donor_minus_gaussian,forward,401,27,0.102594555078003,3,0.01268513997395837,0.102594555078003,0,task00_state27_prefix03
0.0011828215086170935,semantic_all_donor_minus_natural_control,forward,401,27,-0.0003915205350456946,3,0.030303955078125,-0.0003915205350456946,0,task00_state27_prefix03
0.0034786231081144134,semantic_all_donor_minus_shuffled,forward,401,27,-0.11063754186692107,3,-0.04377237955729163,-0.11063754186692107,0,task00_state27_prefix03
-0.020184487097358133,semantic_all_donor_minus_recipient,forward,409,27,-0.019138227905439266,3,0.05755615234375011,-0.019138227905439266,0,task00_state27_prefix03
-0.0056137857880921155,semantic_wrist_donor_minus_recipient,forward,409,27,0.04090679825031143,3,0.004028320312499889,0.04090679825031143,0,task00_state27_prefix03
-0.02424235959886209,semantic_primary_donor_minus_recipient,forward,409,27,-0.029961325972635303,3,-0.00904337565104163,-0.029961325972635303,0,task00_state27_prefix03
0.011283595531978087,semantic_proprio_donor_minus_recipient,forward,409,27,0.0024698262760460415,3,-0.10018920898437489,0.0024698262760460415,0,task00_state27_prefix03
-0.0336897587778055,semantic_all_donor_minus_gaussian,forward,409,27,-0.02619939654160184,3,0.04721069335937511,-0.02619939654160184,0,task00_state27_prefix03
-0.023445415718415488,semantic_all_donor_minus_natural_control,forward,409,27,-0.010778679321329546,3,0.03004964192708337,-0.010778679321329546,0,task00_state27_prefix03
-0.13581870681372338,semantic_all_donor_minus_shuffled,forward,409,27,-0.25059758114825353,3,-0.08146158854166663,-0.25059758114825353,0,task00_state27_prefix03
0.029734258331958873,semantic_all_donor_minus_recipient,forward,419,27,0.030035396626065636,3,0.0029195149739582593,0.030035396626065636,0,task00_state27_prefix03
0.038417536764867734,semantic_wrist_donor_minus_recipient,forward,419,27,-0.0011473099233238792,3,-0.03222656250000011,-0.0011473099233238792,0,task00_state27_prefix03
0.03831297618842912,semantic_primary_donor_minus_recipient,forward,419,27,0.06747399387435352,3,0.0009256998697916297,0.06747399387435352,0,task00_state27_prefix03
0.012887704061666892,semantic_proprio_donor_minus_recipient,forward,419,27,0.03596892027080953,3,0.014221191406249889,0.03596892027080953,0,task00_state27_prefix03
0.02983794898912156,semantic_all_donor_minus_gaussian,forward,419,27,-0.010583840387172784,3,-0.0011494954427083703,-0.010583840387172784,0,task00_state27_prefix03
0.025888354445233925,semantic_all_donor_minus_natural_control,forward,419,27,0.048272661985532386,3,-0.0181884765625,0.048272661985532386,0,task00_state27_prefix03
-0.06059138748020824,semantic_all_donor_minus_shuffled,forward,419,27,-0.08898556537370177,3,0.033477783203125,-0.08898556537370177,0,task00_state27_prefix03
0.045767607417137396,semantic_all_donor_minus_recipient,reverse,401,27,0.09758055844092445,3,0.13693237304687494,0.09758055844092445,0,task00_state27_prefix03
-0.008278161481389046,semantic_wrist_donor_minus_recipient,reverse,401,27,0.036124048441811385,3,0.11868286132812489,0.036124048441811385,0,task00_state27_prefix03
0.06069150118089268,semantic_primary_donor_minus_recipient,reverse,401,27,0.06960576937238548,3,0.12656656901041663,0.06960576937238548,0,task00_state27_prefix03
-0.019126129543048147,semantic_proprio_donor_minus_recipient,reverse,401,27,-0.08754484355690981,3,-0.05333455403645826,-0.08754484355690981,0,task00_state27_prefix03
0.024707937734637198,semantic_all_donor_minus_gaussian,reverse,401,27,0.04244709910072475,3,0.13009643554687494,0.04244709910072475,0,task00_state27_prefix03
0.0063482099256296776,semantic_all_donor_minus_natural_control,reverse,401,27,0.03426592097328268,3,0.04222615559895826,0.03426592097328268,0,task00_state27_prefix03
0.05128048648172248,semantic_all_donor_minus_shuffled,reverse,401,27,0.1464159506964649,3,0.20568847656249994,0.1464159506964649,0,task00_state27_prefix03
0.04037326467612057,semantic_all_donor_minus_recipient,reverse,409,27,0.06856279212337918,3,0.028594970703125,0.06856279212337918,0,task00_state27_prefix03
0.029354251868140287,semantic_wrist_donor_minus_recipient,reverse,409,27,0.05610868650698167,3,-0.02241007486979163,0.05610868650698167,0,task00_state27_prefix03
-0.02037819821183666,semantic_primary_donor_minus_recipient,reverse,409,27,-0.016350728181594817,3,0.06261189778645837,-0.016350728181594817,0,task00_state27_prefix03
-0.009802485438680349,semantic_proprio_donor_minus_recipient,reverse,409,27,-0.07963269906200136,3,-0.02866617838541674,-0.07963269906200136,0,task00_state27_prefix03
0.006560054448792527,semantic_all_donor_minus_gaussian,reverse,409,27,0.03524755172170041,3,0.07923380533854163,0.03524755172170041,0,task00_state27_prefix03
-0.02741879587759742,semantic_all_donor_minus_natural_control,reverse,409,27,0.034366210408431075,3,-0.01078287760416674,0.034366210408431075,0,task00_state27_prefix03
0.026194842824137497,semantic_all_donor_minus_shuffled,reverse,409,27,0.08972937864306499,3,0.198974609375,0.08972937864306499,0,task00_state27_prefix03
-0.0023145548523968995,semantic_all_donor_minus_recipient,reverse,419,27,0.011879260458029728,3,-0.052764892578125056,0.011879260458029728,0,task00_state27_prefix03
