suite,task_id,condition,n_tasks,n_states,n_rows,valid_axes,degenerate_axes,invalid_rows,correct_donor_retrieval_rate,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_donor
libero_10,0,first_frame,,3,36,36,0,0,0.25,-0.7653552180556598,0.40278460857407516,0.24670987615846943,0.7648710314761046,1.6004734916243823,0.8505380037566569
libero_10,0,wrong_latent,,3,36,36,0,0,0.0,-0.043257514771547566,0.44230518520147794,0.4603695813620072,0.37446529871283474,0.8045058486699279,0.5014789120289661
libero_10,0,shuffled_cache,,3,36,36,0,0,0.2222222222222222,-18.26225010285492,0.4603074550381497,0.033374767580536445,9.370305832098786,19.231636440057727,9.386949270601368
libero_10,0,donor_latent,,3,36,36,0,0,1.0,0.6996967937502835,0.8861716485601301,0.9499869443779806,0.13390811148306106,0.2762028075491832,0.14499448886802427
libero_10,0,donor_cache,,3,36,36,0,0,1.0,0.6996967937502835,0.8861716485601301,0.9499869443779806,0.13390811148306106,0.2762028075491832,0.14499448886802427
libero_10,1,first_frame,,3,36,36,0,0,0.2222222222222222,-0.347599073787941,0.3631993679065218,0.2992768215870878,0.7442692254336275,1.148721669534108,0.882456179148578
libero_10,1,wrong_latent,,3,36,36,0,0,0.0,0.027872508794957677,0.42743121573778714,0.4919636657430533,0.4861554295310752,0.7591187785870964,0.638208005594672
libero_10,1,shuffled_cache,,3,36,36,0,0,0.2222222222222222,-17.14472963839594,0.425236732141615,0.024218077294037535,11.827019661147533,18.12778615368724,11.838693178719877
libero_10,1,donor_latent,,3,36,36,0,0,1.0,0.6721845923455319,0.8498715175436161,0.9427708891487927,0.1892627891745595,0.29000631956793194,0.21442921378171956
libero_10,1,donor_cache,,3,36,36,0,0,1.0,0.6721845923455319,0.8498715175436161,0.9427708891487927,0.1892627891745595,0.29000631956793194,0.21442921378171956
libero_10,2,first_frame,,3,36,36,0,0,0.13888888888888887,-0.6074273896761068,0.36736228835485374,0.28386143142523934,0.6867741881228598,1.4372089429525967,0.7818263290224611
libero_10,2,wrong_latent,,3,36,36,0,0,0.0,-0.012931813971598176,0.4311408435449829,0.4645900829523821,0.39231698843846297,0.7979044941236589,0.5080624576153802
libero_10,2,shuffled_cache,,3,36,36,0,0,0.25,-22.920209904569074,0.4468603724352209,0.02004796012389087,11.724244623015274,23.88343781075511,11.742185266743673
libero_10,2,donor_latent,,3,36,36,0,0,1.0,0.6546622027973616,0.859210946048169,0.9337458590161757,0.15365476324635982,0.313534355491596,0.16939891499173987
libero_10,2,donor_cache,,3,36,36,0,0,1.0,0.6546622027973616,0.859210946048169,0.9337458590161757,0.15365476324635982,0.313534355491596,0.16939891499173987
libero_10,3,first_frame,,3,36,36,0,0,0.19444444444444442,-0.28335476355274986,0.36695643447467496,0.30497163056468657,0.6691208792866806,1.0785114955580426,0.79974370138557
libero_10,3,wrong_latent,,3,36,36,0,0,0.0,0.05090779056493968,0.43621170893396677,0.4970384681822669,0.4642449356712816,0.7492654267672935,0.5928046651034101
libero_10,3,shuffled_cache,,3,36,36,0,0,0.25,-17.70519210653902,0.44551855883822467,0.02374459658954291,11.62254099946503,18.67842700079426,11.639527872496132
libero_10,3,donor_latent,,3,36,36,0,0,1.0,0.7113395857092355,0.8729029156259194,0.9573133369460822,0.16001013548955456,0.258329431936005,0.17902573731449947
libero_10,3,donor_cache,,3,36,36,0,0,1.0,0.7113395857092355,0.8729029156259194,0.9573133369460822,0.16001013548955456,0.258329431936005,0.17902573731449947
libero_10,4,first_frame,,3,36,36,0,0,0.2222222222222222,-0.3282252319442999,0.3846485547475124,0.31619074414419107,0.6481116207897175,1.1308050308726296,0.7669610297341061
libero_10,4,wrong_latent,,3,36,36,0,0,0.0,-0.022107674811264914,0.4363415162066655,0.45488097550109446,0.47683227057588723,0.8246802487007169,0.5950089966055051
libero_10,4,shuffled_cache,,3,36,36,0,0,0.25,-18.432336420953277,0.42926482828779955,0.022958769100337017,10.91716297631237,19.40255543827275,10.93395073628575
libero_10,4,donor_latent,,3,36,36,0,0,1.0,0.6849786119294926,0.8754382805197601,0.9466499555944575,0.16324933732917804,0.28716479267015127,0.17810225918524022
