held_out_suite,held_out_task_id,condition,remaining_states,remaining_rows,valid_axes,degenerate_axes,invalid_rows,correct_donor_retrieval_rate,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_donor
libero_10,0,first_frame,117,1404,1404,0,0,0.19301994301994302,-0.4256731513890933,0.37775649821988033,0.3040624314456158,0.8518592406840242,1.2219522404909953,1.021743334042412
libero_10,0,wrong_latent,117,1404,1404,0,0,0.0007122507122507122,-0.05554706740934005,0.4355538389581538,0.4561812643134153,0.6070275847264226,0.8456926352724904,0.7827503701453963
libero_10,0,shuffled_cache,117,1404,1404,0,0,0.23646723646723644,-15.59861603084344,0.4103170554722675,0.0322699947519441,10.862113108858956,16.553099356074917,10.898724492192798
libero_10,0,donor_latent,117,1404,1404,0,0,0.9992877492877492,0.6824043572539998,0.8685521255655028,0.9431486024110184,0.1958149333846692,0.28409615585006126,0.21680376853647654
libero_10,0,donor_cache,117,1404,1404,0,0,0.9992877492877492,0.6824043572539998,0.8685521255655028,0.9431486024110184,0.1958149333846692,0.28409615585006126,0.21680376853647654
libero_10,1,first_frame,117,1404,1404,0,0,0.19373219373219375,-0.43638484739595784,0.3787715043908432,0.30271456105001016,0.8523874921210107,1.2335356205445922,1.020924919288773
libero_10,1,wrong_latent,117,1404,1404,0,0,0.0007122507122507122,-0.05737091416745556,0.4359352227905562,0.4553711595856962,0.6041637352182627,0.8468564063002553,0.779244495951404
libero_10,1,shuffled_cache,117,1404,1404,0,0,0.23646723646723644,-15.627270401727005,0.41121630477730686,0.03250478168236715,10.799120446575655,16.581403209571597,10.8358592637795
libero_10,1,donor_latent,117,1404,1404,0,0,0.9992877492877492,0.6831097983156602,0.8694828981556697,0.943333629468177,0.19439558267463078,0.2837422196444523,0.2150233909745869
libero_10,1,donor_cache,117,1404,1404,0,0,0.9992877492877492,0.6831097983156602,0.8694828981556697,0.943333629468177,0.19439558267463078,0.2837422196444523,0.2150233909745869
libero_10,2,first_frame,117,1404,1404,0,0,0.19586894586894588,-0.429722582886005,0.378664762840886,0.30310982746441656,0.8538617238469278,1.2261385109697593,1.0235051718561095
libero_10,2,wrong_latent,117,1404,1404,0,0,0.0007122507122507122,-0.056324649481133617,0.43584010412883323,0.4560730463239186,0.6065698490924323,0.8458619007736767,0.7825815612842063
libero_10,2,shuffled_cache,117,1404,1404,0,0,0.2357549857549857,-15.479181164132822,0.41066185246208614,0.032611707763652964,10.801755703963662,16.43382239785191,10.838333825625046
libero_10,2,donor_latent,117,1404,1404,0,0,0.9992877492877492,0.6835590903553569,0.8692434256299119,0.9435650404972185,0.19530860898048205,0.2831389366720507,0.2161780140204838
libero_10,2,donor_cache,117,1404,1404,0,0,0.9992877492877492,0.6835590903553569,0.8692434256299119,0.9435650404972185,0.19530860898048205,0.2831389366720507,0.2161780140204838
