manifest_id,state_id,suite,task_id,initial_state_index,condition,run_id,recipient_id,donor_id,source_id,action_seed,shuffle_seed,array_finite,replay_max_abs_error,axis_degenerate,correct_donor_retrieval,nearest_branch_id,nearest_source_id,correct_source_retrieval,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_recipient,distance_to_donor,native_recipient_to_donor_distance
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,wrong_latent,run-457ca24f8edf66f9f8ae,b00,b03,b01,1009,,true,,false,false,b01,b01,true,0.1167532189033118,0.23320880286766774,0.4696767450515482,0.38879229770887247,0.438356175179529,0.44038894220614,0.7833801938022373,0.8869324073047274
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,shuffled_cache,run-a4d3fa4ca00355a81019,b00,b03,b03,1009,2111286668,true,,false,false,b01,b01,false,-13.236888180039012,-0.33959909498131907,-0.023952890143262597,12.571135375802928,14.173724257077243,12.574743215904126,12.62715750605022,0.8869324073047274
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,native,run-a3da105ec8cf60dfe818,b01,,b01,2017,,true,,,,,b01,true,,,,,,,,
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,self_latent,run-d5ad39653739f40a4dfa,b01,,b01,2017,,true,0.0,,,,b01,true,,,,,,,,
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,self_cache,run-0ec86fdf3fcdbf24193e,b01,,b01,2017,,true,0.0,,,,b01,true,,,,,,,,
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,first_frame,run-c12e8fccf083ea2e7d0b,b01,b00,b00,2017,,true,,false,false,b03,b03,false,-0.4910235521651156,0.22652302875208252,0.17496444061687796,0.711595878799604,1.2747096171521684,0.7227443894235343,0.8323513062404275,0.5582415549585182
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,donor_latent,run-b2fa8bff3f230519db51,b01,b00,b00,2017,,true,,false,true,b00,b00,true,0.5642056068641101,0.7169325499029287,0.9077409556307422,0.18497060089528505,0.3313450947037252,0.4408984071673764,0.243278539666383,0.5582415549585182
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,donor_cache,run-2d85f7b9e8f493360181,b01,b00,b00,2017,,true,,false,true,b00,b00,true,0.5642056068641101,0.7169325499029287,0.9077409556307422,0.18497060089528505,0.3313450947037252,0.4408984071673764,0.243278539666383,0.5582415549585182
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,wrong_latent,run-c4e259db74ea67cb0dd2,b01,b00,b02,2017,,true,,false,false,b02,b02,true,-0.03492953627179185,0.4146132074027835,0.4369665232958283,0.47643928264906305,0.8534643801005933,0.5296843333926816,0.5777406736008633,0.5582415549585182
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,shuffled_cache,run-40d404b04844e826c2da,b01,b00,b00,2017,1802776097,true,,false,false,b01,b01,false,-21.39257383188389,-0.30494057794260465,-0.013639846977009415,12.479221112070581,22.354518400189477,12.480382125075165,12.500465235434287,0.5582415549585182
