state_id,suite,task_id,initial_state_index,modality,n_rows,n_valid,n_missing,correct_source_retrieval_rate
libero_goal_task00_state006_wait30,libero_goal,0,6,latent,16,16,0,1.0
libero_goal_task00_state006_wait30,libero_goal,0,6,cache,16,16,0,1.0
libero_goal_task01_state004_wait30,libero_goal,1,4,latent,16,16,0,1.0
libero_goal_task01_state004_wait30,libero_goal,1,4,cache,16,16,0,1.0
libero_goal_task01_state005_wait30,libero_goal,1,5,latent,16,16,0,1.0
libero_goal_task01_state005_wait30,libero_goal,1,5,cache,16,16,0,1.0
libero_goal_task01_state006_wait30,libero_goal,1,6,latent,16,16,0,1.0
libero_goal_task01_state006_wait30,libero_goal,1,6,cache,16,16,0,1.0
libero_goal_task02_state004_wait30,libero_goal,2,4,latent,16,16,0,1.0
libero_goal_task02_state004_wait30,libero_goal,2,4,cache,16,16,0,1.0
libero_goal_task02_state005_wait30,libero_goal,2,5,latent,16,16,0,1.0
libero_goal_task02_state005_wait30,libero_goal,2,5,cache,16,16,0,1.0
libero_goal_task02_state006_wait30,libero_goal,2,6,latent,16,16,0,1.0
libero_goal_task02_state006_wait30,libero_goal,2,6,cache,16,16,0,1.0
libero_goal_task03_state004_wait30,libero_goal,3,4,latent,16,16,0,1.0
libero_goal_task03_state004_wait30,libero_goal,3,4,cache,16,16,0,1.0
libero_goal_task03_state005_wait30,libero_goal,3,5,latent,16,16,0,1.0
libero_goal_task03_state005_wait30,libero_goal,3,5,cache,16,16,0,1.0
libero_goal_task03_state006_wait30,libero_goal,3,6,latent,16,16,0,1.0
libero_goal_task03_state006_wait30,libero_goal,3,6,cache,16,16,0,1.0
libero_goal_task04_state004_wait30,libero_goal,4,4,latent,16,16,0,1.0
libero_goal_task04_state004_wait30,libero_goal,4,4,cache,16,16,0,1.0
libero_goal_task04_state005_wait30,libero_goal,4,5,latent,16,16,0,1.0
libero_goal_task04_state005_wait30,libero_goal,4,5,cache,16,16,0,1.0
libero_goal_task04_state006_wait30,libero_goal,4,6,latent,16,16,0,0.9375
libero_goal_task04_state006_wait30,libero_goal,4,6,cache,16,16,0,0.9375
libero_goal_task05_state004_wait30,libero_goal,5,4,latent,16,16,0,1.0
libero_goal_task05_state004_wait30,libero_goal,5,4,cache,16,16,0,1.0
libero_goal_task05_state005_wait30,libero_goal,5,5,latent,16,16,0,1.0
libero_goal_task05_state005_wait30,libero_goal,5,5,cache,16,16,0,1.0
libero_goal_task05_state006_wait30,libero_goal,5,6,latent,16,16,0,1.0
libero_goal_task05_state006_wait30,libero_goal,5,6,cache,16,16,0,1.0
libero_goal_task06_state004_wait30,libero_goal,6,4,latent,16,16,0,1.0
libero_goal_task06_state004_wait30,libero_goal,6,4,cache,16,16,0,1.0
libero_goal_task06_state005_wait30,libero_goal,6,5,latent,16,16,0,1.0
libero_goal_task06_state005_wait30,libero_goal,6,5,cache,16,16,0,1.0
