bootstrap_mode,kind,label,metric,n_states_total,n_states_valid,n_states_missing,mean,ci95_low,ci95_high,n_suites,n_tasks
state,condition,first_frame,correct_donor_retrieval_rate,120,120,0,0.19444444444444448,0.18192708333333332,0.20694444444444443,,
state,condition,first_frame,donor_distance_reduction,120,120,0,-0.43416520305575745,-0.5266864033758968,-0.3532078669456128,,
state,condition,first_frame,donor_projection,120,120,0,0.3783822009787352,0.3656371814311948,0.3913186191811289,,
state,condition,first_frame,cosine_alignment,120,120,0,0.3026286175634372,0.28352434749196653,0.3217842355347098,,
state,condition,first_frame,orthogonal_residual,120,120,0,0.8496845354538262,0.7816739622339728,0.9255284830346795,,
state,condition,first_frame,orthogonal_residual_ratio,120,120,0,1.2314152717693299,1.1452812507174401,1.3287540548893715,,
state,condition,first_frame,distance_to_donor,120,120,0,1.0174632007852682,0.9404172309701753,1.1000454942961844,,
state,condition,wrong_latent,correct_donor_retrieval_rate,120,120,0,0.0006944444444444444,0.0,0.0020833333333333333,,
state,condition,wrong_latent,donor_distance_reduction,120,120,0,-0.05523982859339524,-0.08943331188591795,-0.026016431112881235,,
state,condition,wrong_latent,donor_projection,120,120,0,0.435722622614237,0.43018317406322293,0.44112365454713515,,
state,condition,wrong_latent,cosine_alignment,120,120,0,0.4562859722396302,0.45014715459612636,0.4624027172115636,,
state,condition,wrong_latent,orthogonal_residual,120,120,0,0.6012135275760832,0.5504382164457862,0.6590405553580374,,
state,condition,wrong_latent,orthogonal_residual_ratio,120,120,0,0.8446629656074263,0.8153753361979367,0.8775094592067106,,
state,condition,wrong_latent,distance_to_donor,120,120,0,0.7757185836924857,0.7059866765672747,0.8523054177024216,,
state,condition,shuffled_cache,correct_donor_retrieval_rate,120,120,0,0.2361111111111111,0.22776041666666666,0.24513888888888888,,
state,condition,shuffled_cache,donor_distance_reduction,120,120,0,-15.665206882643728,-16.726617536430744,-14.615580329853708,,
state,condition,shuffled_cache,donor_projection,120,120,0,0.4115668154614145,0.3995084867138589,0.4230034845296521,,
state,condition,shuffled_cache,cosine_alignment,120,120,0,0.0322976140726589,0.028836562703034065,0.036005948737389985,,
state,condition,shuffled_cache,orthogonal_residual,120,120,0,10.82481792693995,10.491597478682449,11.118337780766486,,
state,condition,shuffled_cache,orthogonal_residual_ratio,120,120,0,16.620062783174486,15.596304984266636,17.699662390901715,,
state,condition,shuffled_cache,distance_to_donor,120,120,0,10.86093011165301,10.524978868236358,11.153772912074952,,
state,condition,donor_latent,correct_donor_retrieval_rate,120,120,0,0.9993055555555556,0.9979166666666667,1.0,,
state,condition,donor_latent,donor_distance_reduction,120,120,0,0.6828366681664071,0.6686405110443406,0.6971812149373016,,
state,condition,donor_latent,donor_projection,120,120,0,0.8689926136403685,0.8581184133662246,0.8797320691977438,,
state,condition,donor_latent,cosine_alignment,120,120,0,0.9433195609601924,0.9384812011973696,0.9480541299785759,,
