state_id,suite,task_id,initial_state_index,condition,n_rows,valid_axes,degenerate_axes,invalid_rows,correct_donor_retrieval_rate,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_donor
libero_spatial_task00_state004_wait30,libero_spatial,0,4,first_frame,12,12,0,0,0.08333333333333333,-0.08529589837440561,0.364357558407169,0.4025408551061011,0.6017597295244409,0.8737148659998025,0.7547343633476031
libero_spatial_task00_state004_wait30,libero_spatial,0,4,wrong_latent,12,12,0,0,0.0,0.07556099189006152,0.4119243854695751,0.4738041949926217,0.4717983991890263,0.6743849482391212,0.6530782365715015
libero_spatial_task00_state004_wait30,libero_spatial,0,4,shuffled_cache,12,12,0,0,0.25,-16.787570344508598,0.45974213758946597,0.02692314527561374,12.348342708007522,17.758366307702932,12.370074909770265
libero_spatial_task00_state004_wait30,libero_spatial,0,4,donor_latent,12,12,0,0,1.0,0.5701249273478443,0.8203952489361285,0.9053677988253653,0.27066179451098876,0.3790929628659569,0.30366786518153305
libero_spatial_task00_state004_wait30,libero_spatial,0,4,donor_cache,12,12,0,0,1.0,0.5701249273478443,0.8203952489361285,0.9053677988253653,0.27066179451098876,0.3790929628659569,0.30366786518153305
libero_spatial_task00_state005_wait30,libero_spatial,0,5,first_frame,12,12,0,0,0.0,-0.07093748141899452,0.30116089932062245,0.34803512953082705,0.49496379782207595,0.8040985318497652,0.661366310014937
libero_spatial_task00_state005_wait30,libero_spatial,0,5,wrong_latent,12,12,0,0,0.0,-0.017979377744265113,0.3691237235364926,0.41781139515772986,0.4802269642494778,0.7841064826379069,0.6258826179666162
libero_spatial_task00_state005_wait30,libero_spatial,0,5,shuffled_cache,12,12,0,0,0.4166666666666667,-19.35391231518479,0.36188330283330244,0.017597756691709765,12.50560252523232,20.334083874611345,12.517896748957561
libero_spatial_task00_state005_wait30,libero_spatial,0,5,donor_latent,12,12,0,0,1.0,0.48447416991134884,0.7302900532276019,0.8547245856064709,0.26704345588996364,0.43388636743725795,0.3170642644931155
libero_spatial_task00_state005_wait30,libero_spatial,0,5,donor_cache,12,12,0,0,1.0,0.48447416991134884,0.7302900532276019,0.8547245856064709,0.26704345588996364,0.43388636743725795,0.3170642644931155
libero_spatial_task00_state006_wait30,libero_spatial,0,6,first_frame,12,12,0,0,0.16666666666666666,-0.2287967294344078,0.3017248102298582,0.27932804911208925,0.668250703537527,0.9904042528832361,0.8340444092535906
libero_spatial_task00_state006_wait30,libero_spatial,0,6,wrong_latent,12,12,0,0,0.0,0.036032673236938456,0.38524650768752616,0.4658954701516315,0.47926914377488444,0.7206432178539591,0.6494004278224352
libero_spatial_task00_state006_wait30,libero_spatial,0,6,shuffled_cache,12,12,0,0,0.25,-17.500799565898756,0.3262830134385692,0.017877602288847647,12.442353101344063,18.475962113629276,12.45973466658365
libero_spatial_task00_state006_wait30,libero_spatial,0,6,donor_latent,12,12,0,0,1.0,0.5544347153969666,0.7693149631330901,0.8950341869068256,0.25796083845055406,0.3803663145487215,0.30275321295588115
libero_spatial_task00_state006_wait30,libero_spatial,0,6,donor_cache,12,12,0,0,1.0,0.5544347153969666,0.7693149631330901,0.8950341869068256,0.25796083845055406,0.3803663145487215,0.30275321295588115
libero_spatial_task01_state004_wait30,libero_spatial,1,4,first_frame,12,12,0,0,0.16666666666666666,-0.7083491482362008,0.3343904696034002,0.20267505519244847,0.6128711753864352,1.5556855920190191,0.6743547688423756
libero_spatial_task01_state004_wait30,libero_spatial,1,4,wrong_latent,12,12,0,0,0.0,0.017742001871799206,0.41285342079144,0.4668926391155001,0.30523061365660203,0.7781841856863084,0.38692136890421386
libero_spatial_task01_state004_wait30,libero_spatial,1,4,shuffled_cache,12,12,0,0,0.25,-28.926251523334376,0.29813095207575946,0.009907230160460261,11.758467899930197,29.88708059834933,11.773686922950859
libero_spatial_task01_state004_wait30,libero_spatial,1,4,donor_latent,12,12,0,0,1.0,0.6306448100799927,0.8241034254605758,0.9308171730673961,0.1272186426431318,0.322747884095069,0.14591380521180275
libero_spatial_task01_state004_wait30,libero_spatial,1,4,donor_cache,12,12,0,0,1.0,0.6306448100799927,0.8241034254605758,0.9308171730673961,0.1272186426431318,0.322747884095069,0.14591380521180275
libero_spatial_task01_state005_wait30,libero_spatial,1,5,first_frame,12,12,0,0,0.16666666666666666,-0.02495665141142765,0.3187421719224907,0.35712874116994264,0.39212220637377,0.7302769561160484,0.5541818803972172
libero_spatial_task01_state005_wait30,libero_spatial,1,5,wrong_latent,12,12,0,0,0.0,-0.02267361860930271,0.4149678559711248,0.43348123007429035,0.42417592926590614,0.8000471133647706,0.5475568138332682
libero_spatial_task01_state005_wait30,libero_spatial,1,5,shuffled_cache,12,12,0,0,0.3333333333333333,-20.981246145787996,0.26744309743014183,0.012179903190072535,11.800591176870528,21.952034612996673,11.816924637022183
libero_spatial_task01_state005_wait30,libero_spatial,1,5,donor_latent,12,12,0,0,1.0,0.6644612931624204,0.8266524068156973,0.9432976147015456,0.15391096897960063,0.2859670538718989,0.18053822310692091
libero_spatial_task01_state005_wait30,libero_spatial,1,5,donor_cache,12,12,0,0,1.0,0.6644612931624204,0.8266524068156973,0.9432976147015456,0.15391096897960063,0.2859670538718989,0.18053822310692091
libero_spatial_task01_state006_wait30,libero_spatial,1,6,first_frame,12,12,0,0,0.25,-0.645802633389652,0.3430461453898337,0.21653944754161217,0.695198956768328,1.4608192219338907,0.7877284041526281
libero_spatial_task01_state006_wait30,libero_spatial,1,6,wrong_latent,12,12,0,0,0.0,0.04749431791207981,0.39640333080157647,0.48704981624497196,0.33882976067895904,0.7181560696557071,0.45766137582371785
libero_spatial_task01_state006_wait30,libero_spatial,1,6,shuffled_cache,12,12,0,0,0.16666666666666666,-22.96667003551659,0.33103214563536754,0.014396037960898186,11.457610766088052,23.918165820418192,11.480133855679293
libero_spatial_task01_state006_wait30,libero_spatial,1,6,donor_latent,12,12,0,0,1.0,0.6158092574223394,0.7942689349106548,0.9252453767247925,0.15556865301691178,0.32295737312746725,0.18586287163177362
libero_spatial_task01_state006_wait30,libero_spatial,1,6,donor_cache,12,12,0,0,1.0,0.6158092574223394,0.7942689349106548,0.9252453767247925,0.15556865301691178,0.32295737312746725,0.18586287163177362
libero_spatial_task02_state004_wait30,libero_spatial,2,4,first_frame,12,12,0,0,0.25,-0.9543251475295634,0.36420405121444804,0.19628102919883775,1.0750731482940503,1.8077204464586945,1.1628890002562977
libero_spatial_task02_state004_wait30,libero_spatial,2,4,wrong_latent,12,12,0,0,0.0,0.02530314114972958,0.4093744665260519,0.4819250100946603,0.4418741787844582,0.7577060529446683,0.5744455431461473
libero_spatial_task02_state004_wait30,libero_spatial,2,4,shuffled_cache,12,12,0,0,0.25,-19.00094874686003,0.3299327200418092,0.017270790765364964,11.876872219088042,19.96101669190425,11.898897989526128
libero_spatial_task02_state004_wait30,libero_spatial,2,4,donor_latent,12,12,0,0,1.0,0.5700164343396735,0.8140469556404092,0.8987757660223598,0.22859621335295946,0.3847042644209169,0.2540727063713549
libero_spatial_task02_state004_wait30,libero_spatial,2,4,donor_cache,12,12,0,0,1.0,0.5700164343396735,0.8140469556404092,0.8987757660223598,0.22859621335295946,0.3847042644209169,0.2540727063713549
libero_spatial_task02_state005_wait30,libero_spatial,2,5,first_frame,12,12,0,0,0.16666666666666666,-0.4828033670488498,0.3938358427033271,0.26478345827714755,0.8937563733403618,1.3100660857579993,1.0140357844637724
libero_spatial_task02_state005_wait30,libero_spatial,2,5,wrong_latent,12,12,0,0,0.0,-0.04297927195204279,0.43391861076535526,0.4416389257368476,0.5841698942289278,0.8597719797212746,0.7117495053548121
libero_spatial_task02_state005_wait30,libero_spatial,2,5,shuffled_cache,12,12,0,0,0.25,-16.56950525466814,0.43614831715685515,0.024966368560860763,11.958461051610954,17.54413776466571,11.975613820868384
libero_spatial_task02_state005_wait30,libero_spatial,2,5,donor_latent,12,12,0,0,1.0,0.6458529923752443,0.8591444407954425,0.9335224220143021,0.21899403143393584,0.3229389433894206,0.23994968103826297
libero_spatial_task02_state005_wait30,libero_spatial,2,5,donor_cache,12,12,0,0,1.0,0.6458529923752443,0.8591444407954425,0.9335224220143021,0.21899403143393584,0.3229389433894206,0.23994968103826297
