cosine_alignment,distance_reduction,held_out_family,n_states,normalized_projection,orthogonal_residual,retrieval_accuracy_off_diagonal
0.9943063306038789,0.9134581453137035,move,27,0.9890838838857711,0.08345069343614016,1.0
0.9950580746784377,0.9196546387256581,open,27,0.9900464943860809,0.07729870423089359,1.0
0.9943697815387063,0.91420289987241,pick,27,0.989572859536642,0.0827443590169474,1.0
0.9943748266406714,0.9142511558129949,place,27,0.9898328813154804,0.08265005324688603,1.0
0.9963620826452244,0.9266165297213581,press,27,0.9934194333504905,0.071303412377622,1.0
0.9947613426939569,0.9190970207719806,put,27,0.9905674434601197,0.07817963423870286,1.0
0.9944531622720016,0.9157632367880554,remove,27,0.9889249408249783,0.08120509510299066,1.0
0.9945204016598613,0.915207897460508,take,27,0.9899973243010559,0.08184248552016783,1.0
0.9945640833734771,0.9168774968134469,turn,27,0.9906325253710927,0.08019245048330524,1.0
0.9945743306794645,0.917006934255824,use,27,0.9898379550690493,0.08000300654816492,1.0
