correct_source_tie_fraction,correct_source_top1,cosine_alignment,distance_reduction,distance_to_donor_l2,future_source_index,future_source_seed,native_separation_l2,nearest_native_seed,nearest_tie_count,normalized_final_distance,normalized_projection,orthogonal_residual,recipient_index,recipient_seed,separation_quartile,separation_quartile_label,state_id,task_family
1.0,1,0.9986703769140373,0.9484270340699263,0.040245702897963434,1,223,0.7803643279413378,223,1,0.05157296593007365,0.9958304211755419,0.05140413823079975,0,211,1,Q1 (smallest),droid_episode_006011_frame_000178,use
1.0,1,0.9973202798346716,0.9268362607226671,0.03772207962461428,2,227,0.5155843590993315,227,1,0.07316373927733291,0.9938293819714108,0.07290306041715121,0,211,1,Q1 (smallest),droid_episode_006011_frame_000178,use
1.0,1,0.9967964926821229,0.9192518340447334,0.048636118259159145,3,229,0.6023185503198044,229,1,0.08074816595526657,1.0046813360722808,0.08061235263728278,0,211,1,Q1 (smallest),droid_episode_006011_frame_000178,use
1.0,1,0.9986673798162006,0.9482763148447811,0.04036331880480175,0,211,0.7803643279413378,211,1,0.0517236851552189,1.0007779721340333,0.05171783411353263,1,223,1,Q1 (smallest),droid_episode_006011_frame_000178,use
1.0,1,0.9971962923908024,0.924660864264838,0.0332692547202895,2,227,0.4415932621956288,227,1,0.0753391357351621,0.9856824783566399,0.07396616758568134,1,223,1,Q1 (smallest),droid_episode_006011_frame_000178,use
1.0,1,0.9988371631967375,0.9517861980878204,0.04334477288586733,3,229,0.899011717947878,229,1,0.048213801912179666,0.9981743752157543,0.04817922569919578,1,223,2,Q2,droid_episode_006011_frame_000178,use
1.0,1,0.9972486404960834,0.9258638812271266,0.038223423283623846,0,211,0.5155843590993315,211,1,0.07413611877287339,0.993500112205629,0.07385063009457792,2,227,1,Q1 (smallest),droid_episode_006011_frame_000178,use
1.0,1,0.9973384711969686,0.9262690459427436,0.03255909252693989,1,223,0.4415932621956288,223,1,0.07373095405725642,0.9837460047419823,0.07191704404621753,2,227,1,Q1 (smallest),droid_episode_006011_frame_000178,use
1.0,1,0.9990550029314266,0.9565274514941831,0.03648452928210335,3,229,0.8392544384008558,229,1,0.04347254850581693,0.9989826314245198,0.04346064236492866,2,227,2,Q2,droid_episode_006011_frame_000178,use
1.0,1,0.9965872000371753,0.916191753031074,0.05047926181916766,0,211,0.6023185503198044,211,1,0.08380824696892601,1.0076234811507538,0.08346079795418085,3,229,1,Q1 (smallest),droid_episode_006011_frame_000178,use
1.0,1,0.9987865226066291,0.9507037617225088,0.0443178958622153,1,223,0.899011717947878,223,1,0.049296238277491196,0.9954237963827994,0.04908337263030229,3,229,2,Q2,droid_episode_006011_frame_000178,use
1.0,1,0.9988133185271536,0.9512854149697397,0.040883931701501786,2,227,0.8392544384008558,227,1,0.04871458503026023,0.9965541180028852,0.048592557989186096,3,229,2,Q2,droid_episode_006011_frame_000178,use
1.0,1,0.9975372047334675,0.9224367565633469,0.04821950298845675,1,223,0.6216798170365092,223,1,0.07756324343665315,0.9620481097098668,0.06764400014649644,0,211,1,Q1 (smallest),droid_episode_006474_frame_000068,put
1.0,1,0.9961555387392059,0.9116195835620853,0.036189343026028414,2,227,0.40947242030083236,227,1,0.08838041643791474,0.980668055016956,0.08624021053378632,0,211,1,Q1 (smallest),droid_episode_006474_frame_000068,put
1.0,1,0.9977738536007381,0.9311954218696582,0.055177704432434235,3,229,0.8019481542043163,229,1,0.06880457813034176,0.9786571693554901,0.06541065319788568,0,211,1,Q1 (smallest),droid_episode_006474_frame_000068,put
1.0,1,0.9969998968374427,0.9176255108995709,0.05121055731243069,0,211,0.6216798170365092,211,1,0.0823744891004291,0.9659091211695898,0.07498912211199038,1,223,1,Q1 (smallest),droid_episode_006474_frame_000068,put
