action_l2_from_baseline,contrast,direction,episode_index,physical_endpoint_donor_steering,prefix_chunks,primary_pixel_donor_preference,proprio_endpoint_donor_steering,task_name,unit_id
0.03432827070355415,block27_current_gate1,reverse,10,2.926761449681424e-05,3,0.040191857993197355,0.08907165255801877,PnPCounterToCab,PnPCounterToCab_episode10_prefix03
0.0,block27_all_key_control,reverse,10,0.0,3,0.0,0.0,PnPCounterToCab,PnPCounterToCab_episode10_prefix03
-0.002987004816532135,block27_future_gate1_minus_block27_current_gate1,forward,10,6.37002470491851e-05,3,0.29130792942176875,0.15990694089214286,PnPCounterToCab,PnPCounterToCab_episode10_prefix03
0.026481518521904945,block27_future_gate1_minus_block27_all_key_control,forward,10,6.560693690083488e-05,3,0.3871970663265306,0.18680188433438194,PnPCounterToCab,PnPCounterToCab_episode10_prefix03
-0.009633122012019157,block27_future_gate1_minus_block27_current_gate1,reverse,10,8.139824456003726e-06,3,0.018269026360544283,0.040767251502401486,PnPCounterToCab,PnPCounterToCab_episode10_prefix03
0.024695148691534996,block27_future_gate1_minus_block27_all_key_control,reverse,10,3.7407438952817965e-05,3,0.05846088435374164,0.12983890406042026,PnPCounterToCab,PnPCounterToCab_episode10_prefix03
0.06286146491765976,block27_future_gate1,forward,0,0.02714361332643414,0,0.838501806972789,0.05243132222118014,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
0.034144721925258636,block27_current_gate1,forward,0,0.027263366818388073,0,0.652768920068028,0.03816701092248311,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
0.0,block27_all_key_control,forward,0,0.0,0,0.0,0.0,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
0.044075049459934235,block27_future_gate1,reverse,0,0.005707204200008413,0,0.36690848214285676,0.02702889428378103,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
0.03347790241241455,block27_current_gate1,reverse,0,0.020355608535520067,0,0.9827141794217686,0.018130760214543566,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
0.0,block27_all_key_control,reverse,0,0.0,0,0.0,0.0,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
0.028716742992401123,block27_future_gate1_minus_block27_current_gate1,forward,0,-0.00011975349195393267,0,0.18573288690476097,0.014264311298697027,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
0.06286146491765976,block27_future_gate1_minus_block27_all_key_control,forward,0,0.02714361332643414,0,0.838501806972789,0.05243132222118014,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
0.010597147047519684,block27_future_gate1_minus_block27_current_gate1,reverse,0,-0.014648404335511653,0,-0.6158056972789119,0.008898134069237465,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
0.044075049459934235,block27_future_gate1_minus_block27_all_key_control,reverse,0,0.005707204200008413,0,0.36690848214285676,0.02702889428378103,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
0.03086068481206894,block27_future_gate1,forward,10,0.0472129690377266,3,0.14481026785714302,0.24783335542250137,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
0.04543546959757805,block27_current_gate1,forward,10,0.9107681246071031,3,0.7364609906462585,0.06122868314329963,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
0.0,block27_all_key_control,forward,10,0.0,3,0.0,0.0,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
0.03005087561905384,block27_future_gate1,reverse,10,0.013913432169384567,3,0.18363360969387754,0.25937398885118745,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
0.04655198007822037,block27_current_gate1,reverse,10,0.9271442205283419,3,0.1544164540816324,0.223796698003154,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
0.0,block27_all_key_control,reverse,10,0.0,3,0.0,0.0,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
-0.01457478478550911,block27_future_gate1_minus_block27_current_gate1,forward,10,-0.8635551555693765,3,-0.5916507227891155,0.18660467227920174,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
0.03086068481206894,block27_future_gate1_minus_block27_all_key_control,forward,10,0.0472129690377266,3,0.14481026785714302,0.24783335542250137,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
-0.016501104459166527,block27_future_gate1_minus_block27_current_gate1,reverse,10,-0.9132307883589573,3,0.029217155612245138,0.03557729084803346,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
0.03005087561905384,block27_future_gate1_minus_block27_all_key_control,reverse,10,0.013913432169384567,3,0.18363360969387754,0.25937398885118745,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
