action_donor_steering,contrast,decoded_primary_donor_preference,direction,episode_index,physical_endpoint_donor_steering,prefix_chunks,primary_pixel_donor_preference,proprio_endpoint_donor_steering,task_name,unit_id
0.00882567775945392,semantic_donor_minus_recipient,0.002404868197279697,forward,0,0.019372773620846807,0,-0.020102572278911657,-0.007805998983621193,OpenDrawer,OpenDrawer_episode00_prefix00
0.0018954625313915563,semantic_donor_minus_gaussian,-0.001873405612244028,forward,0,-0.03676520843307881,0,-0.013166985544217802,-0.027632310993008835,OpenDrawer,OpenDrawer_episode00_prefix00
-0.011455529198709194,semantic_donor_minus_recipient,0.002404868197279697,reverse,0,0.029003122783736318,0,-0.009606186224489832,0.03471754432469973,OpenDrawer,OpenDrawer_episode00_prefix00
-0.029511819922741364,semantic_donor_minus_gaussian,-0.002830038265305035,reverse,0,0.057500872607708975,0,-0.08241656037414957,0.06894567705704971,OpenDrawer,OpenDrawer_episode00_prefix00
0.059610449911413864,semantic_donor_minus_recipient,0.012901254251698191,forward,10,0.09398867589308191,3,0.07108312074829937,0.07481562485726934,OpenDrawer,OpenDrawer_episode10_prefix03
-0.027205941479787252,semantic_donor_minus_gaussian,0.010908269557820205,forward,10,-0.01353141222257712,3,-0.07945365646258495,0.00920155820609754,OpenDrawer,OpenDrawer_episode10_prefix03
0.02697470623198202,semantic_donor_minus_recipient,0.012901254251698191,reverse,10,0.05349914494423348,3,0.028127657312925436,-0.027839048418744114,OpenDrawer,OpenDrawer_episode10_prefix03
0.043368901158293775,semantic_donor_minus_gaussian,0.0088355654761898,reverse,10,0.06418554812739796,3,0.028340242346938993,0.03429989498133154,OpenDrawer,OpenDrawer_episode10_prefix03
0.006436545569555343,semantic_donor_minus_recipient,-0.031316432823127016,forward,0,-0.031227989772297876,0,-0.02853954081632626,0.015747340549361458,PnPCounterToCab,PnPCounterToCab_episode00_prefix00
0.012261920510533254,semantic_donor_minus_gaussian,-0.05296024659863896,forward,0,0.013198970567854743,0,-0.06950201955782309,0.09704103430350884,PnPCounterToCab,PnPCounterToCab_episode00_prefix00
0.041361545270347785,semantic_donor_minus_recipient,-0.031316432823127016,reverse,0,0.04331656518942584,0,-0.127737032312925,0.036356785341463776,PnPCounterToCab,PnPCounterToCab_episode00_prefix00
0.028961720946872993,semantic_donor_minus_gaussian,0.01024394132653228,reverse,0,0.03983108158547716,0,-0.016794217687074786,0.03146777583299171,PnPCounterToCab,PnPCounterToCab_episode00_prefix00
0.01945080598669586,semantic_donor_minus_recipient,0.059231505102044224,forward,10,3.245445357974169e-05,3,0.000292304421768641,0.06380306893711152,PnPCounterToCab,PnPCounterToCab_episode10_prefix03
0.025450554966254167,semantic_donor_minus_gaussian,0.05285395408163396,forward,10,2.4085704071688156e-05,3,0.0013419430272108013,0.04181918146445546,PnPCounterToCab,PnPCounterToCab_episode10_prefix03
-0.003732063152652454,semantic_donor_minus_recipient,0.059231505102044224,reverse,10,-2.2778170440152813e-05,3,-0.1775749362244896,-0.10030696156748978,PnPCounterToCab,PnPCounterToCab_episode10_prefix03
-0.014361789122228907,semantic_donor_minus_gaussian,0.04698129251700678,reverse,10,-7.994243215815738e-06,3,0.00047831632653072553,-0.0542855716707262,PnPCounterToCab,PnPCounterToCab_episode10_prefix03
0.018340289866726568,semantic_donor_minus_recipient,0.7828842474489814,forward,0,0.05389980087129126,0,-0.5804900085034026,0.1621412549984299,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
0.017588208795071655,semantic_donor_minus_gaussian,1.8271417942176882,forward,0,0.046950593502593674,0,-0.5199165603741491,0.14251034398926743,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
0.007950704792572871,semantic_donor_minus_recipient,0.7828842474489814,reverse,0,0.037384913928894425,0,-0.3432052508503398,0.1275945186644214,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
0.010006813004339143,semantic_donor_minus_gaussian,0.0845291241496593,reverse,0,0.04876675034826694,0,-0.5708173894557822,0.16320536463104185,TurnOffMicrowave,TurnOffMicrowave_episode00_prefix00
-0.000454031844098644,semantic_donor_minus_recipient,-0.003613945578230471,forward,10,0.06945473556688815,3,0.11665603741496611,0.07417177047477257,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
-0.032751311603515146,semantic_donor_minus_gaussian,-0.004145408163267916,forward,10,0.09080613814679786,3,0.0847284226190479,0.10181145806555537,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
3.266590255209326e-05,semantic_donor_minus_recipient,-0.003613945578230471,reverse,10,-0.02466642296519553,3,0.01631590136054406,0.0009479096448481474,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
-0.0051327634225040615,semantic_donor_minus_gaussian,0.0008370535714306016,reverse,10,-0.08698317950098682,3,-0.0672433035714286,-0.04777650744603151,TurnOffMicrowave,TurnOffMicrowave_episode10_prefix03
