model,states,branches_per_state,offdiagonal_cells,correct_source_count,correct_source_rate,correct_source_ci_low,correct_source_ci_high,distance_reduction,distance_reduction_ci_low,distance_reduction_ci_high,normalized_projection,projection_ci_low,projection_ci_high,cosine_alignment,cosine_ci_low,cosine_ci_high,orthogonal_residual,orthogonal_ci_low,orthogonal_ci_high,permutation_p,scope
DreamZero,30,4,360,360,1.000000,1.000000,1.000000,0.917214,0.896801,0.933260,0.990192,0.983989,0.995017,0.994734,0.991272,0.997066,0.079887,0.064753,0.098619,0.0000099999,full_24_step_predicted_action_chunk
LingBot-VA,30,4,360,269,0.747222,0.666667,0.819444,0.473486,0.421452,0.523993,0.675435,0.624272,0.722990,0.813573,0.777420,0.846508,0.388421,0.359100,0.418146,0.0000099999,three_post_conditioning_frame_groups_of_predicted_action_chunk_not_physically_executed
