held_out_task,remaining_tasks,remaining_states,native_action_l2,recipient_future_recipient_kv__donor_projection,recipient_future_recipient_kv__distance_to_recipient,recipient_future_recipient_kv__distance_to_donor,donor_future_recipient_kv__donor_projection,donor_future_recipient_kv__distance_to_recipient,donor_future_recipient_kv__distance_to_donor,donor_future_donor_kv__donor_projection,donor_future_donor_kv__distance_to_recipient,donor_future_donor_kv__distance_to_donor,recipient_future_donor_kv__donor_projection,recipient_future_donor_kv__distance_to_recipient,recipient_future_donor_kv__distance_to_donor,kv_effect_at_recipient_future,kv_effect_at_donor_future,future_effect_at_recipient_kv,future_effect_at_donor_kv,future_by_kv_interaction,donor_future_recipient_kv_follows_kv,recipient_future_donor_kv_follows_kv,both_crossed_arms_follow_kv,crossed_arm_kv_follow_fraction
BananaInBowlTask,5,18,3.4502825856208803,-0.015524428920564992,0.27583982298771537,3.5182068943977356,0.12459179911418758,0.6595615357160568,3.021347977717718,1.0050329041814416,3.5177478750546776,0.4213234019776186,0.8772996028773262,3.06220195889473,0.646284053226312,0.8928240317978912,0.8804411050672541,0.1401162280347526,0.1277333013041154,-0.012382926730637189,1.0,1.0,1.0,1.0
MarkerInMugTask,5,18,2.97175844113032,-0.011018039209015378,0.23749886105457946,3.0152556220690405,0.11132650516361098,0.5304157644510269,2.6747762938340505,0.9967801502996745,2.9710301518440247,0.2805659227073193,0.8808856944011445,2.6345069229602815,0.5475103015700975,0.89190373361016,0.8854536451360635,0.12234454437262636,0.11589445589852983,-0.006450088474096537,1.0,1.0,1.0,1.0
MustardInLeftBinTask,5,18,3.3855107744534814,-0.007511310190700121,0.2613348310192426,3.4254130959510802,0.1292310208876643,0.6793826987346013,2.9436523536841075,1.0072186889591341,3.463744302590688,0.3996246509253979,0.8830818471703106,3.0261395911375684,0.6206168984373411,0.8905931573610106,0.8779876680714699,0.13674233107836442,0.12413684178882356,-0.012605489289540866,1.0,1.0,1.0,1.0
RubiksCubeTask,5,17,3.583626866340637,-0.009672025943863868,0.26487934564550714,3.634950776894887,0.12809612533170772,0.6895879740516344,3.132536886135737,1.005310994037632,3.6512550552686056,0.41800060148040447,0.8791408363404105,3.1865765531857813,0.6655325512091319,0.8888128622842743,0.8772148687059242,0.1377681512755716,0.12617015769722145,-0.011597993578350134,1.0,1.0,1.0,1.0
SmartphoneInBinTask,5,17,3.319965159893036,-0.011017369718555567,0.27431028162439663,3.3746797879536943,0.10925629611646019,0.6108211706082025,2.9472179750601453,1.0024947354048936,3.376497038205465,0.409778498361508,0.8966348350679377,3.0012026925881705,0.5856005931893985,0.9076522047864932,0.8932384392884336,0.12027366583501575,0.10585990033695603,-0.014413765498059722,1.0,1.0,1.0,1.0
SpoonInMugTask,5,17,3.4889466404914855,-0.012589212540095564,0.27952802528937654,3.547789951165517,0.11131776116396246,0.6463962490359941,3.086456875006358,1.0057712247367145,3.5567536314328514,0.41750393013159426,0.8884080487115021,3.1216115494569143,0.6348538960019747,0.9009972612515977,0.8944534635727523,0.12390697370405801,0.11736317602521255,-0.006543797678845435,1.0,1.0,1.0,1.0
