state_id,task,environment_seed,branch_step,recipient_seed,donor_seed,native_action_l2,recipient_future_recipient_kv__donor_projection,recipient_future_recipient_kv__distance_to_recipient,recipient_future_recipient_kv__distance_to_donor,donor_future_recipient_kv__donor_projection,donor_future_recipient_kv__distance_to_recipient,donor_future_recipient_kv__distance_to_donor,donor_future_donor_kv__donor_projection,donor_future_donor_kv__distance_to_recipient,donor_future_donor_kv__distance_to_donor,recipient_future_donor_kv__donor_projection,recipient_future_donor_kv__distance_to_recipient,recipient_future_donor_kv__distance_to_donor,kv_effect_at_recipient_future,kv_effect_at_donor_future,future_effect_at_recipient_kv,future_effect_at_donor_kv,future_by_kv_interaction,donor_future_recipient_kv_closer_to,recipient_future_donor_kv_closer_to,donor_future_recipient_kv_follows_kv,recipient_future_donor_kv_follows_kv,donor_future_recipient_kv_tie,recipient_future_donor_kv_tie,both_crossed_arms_follow_kv,crossed_arm_kv_follow_fraction,crossed_arm_state_class
BananaInBowlTask_seed_107,BananaInBowlTask,107,64,229,241,3.034456968307495,0.013734906152405095,0.2175634801387787,3.000387191772461,0.05751817366076179,0.43732041120529175,2.8878939151763916,0.9997162780767986,3.0442137718200684,0.2540335953235626,0.9680595443721177,2.9540188312530518,0.32635778188705444,0.9543246382197126,0.9421981044160368,0.0437832675083567,0.03165673370468092,-0.012126533803675787,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
BananaInBowlTask_seed_109,BananaInBowlTask,109,64,229,239,2.533170223236084,0.005802065622944298,0.21347400546073914,2.527461051940918,0.04791154547059963,0.41519826650619507,2.4442687034606934,1.0072340027966031,2.562277317047119,0.2355271577835083,0.9600372286687139,2.457681179046631,0.3689481019973755,0.9542351630457696,0.9593224573260035,0.04210947984765533,0.04719677412788925,0.005087294280233912,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
BananaInBowlTask_seed_113,BananaInBowlTask,113,64,223,281,3.2784054279327393,0.011332302464739015,0.2115386724472046,3.247936725616455,0.16715181748860433,0.70255446434021,2.765582799911499,0.9853822492634455,3.238374948501587,0.23097923398017883,0.8287617775051702,2.751988410949707,0.7116281986236572,0.8174294750404312,0.8182304317748412,0.15581951502386532,0.15662047175827531,0.0008009567344100521,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
MarkerInMugTask_seed_101,MarkerInMugTask,101,320,211,223,6.226959705352783,0.008145424870697977,0.32995718717575073,6.184837341308594,0.17617130677352055,1.4013780355453491,5.203536033630371,1.1130038191293945,7.172198295593262,1.975337028503418,0.9573949292201264,6.055049419403076,1.0920735597610474,0.9492495043494283,0.936832512355874,0.16802588190282258,0.15560888990926813,-0.012416991993554394,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
MarkerInMugTask_seed_109,MarkerInMugTask,109,320,211,269,2.931698799133301,-0.0005839330141451442,0.26697009801864624,2.9455337524414062,0.06639347894454792,0.3780474364757538,2.7561733722686768,0.9954041539652037,2.9297642707824707,0.26011958718299866,0.9005915895515986,2.658755302429199,0.4276958405971527,0.9011755225657437,0.9290106750206557,0.06697741195869306,0.09481256441360508,0.02783515245491197,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
MarkerInMugTask_seed_113,MarkerInMugTask,113,320,239,251,6.865236282348633,-0.044288063289708635,0.6207633018493652,7.189682960510254,0.22899616016054647,1.7128342390060425,5.336611270904541,1.007715865268757,6.943669319152832,0.5964455604553223,0.845080658917001,5.865309238433838,1.368770956993103,0.8893687222067097,0.7787197051082105,0.2732842234502551,0.162635206351756,-0.11064901709849917,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
MustardInLeftBinTask_seed_107,MustardInLeftBinTask,107,96,227,229,4.543346405029297,-0.04386272374885096,0.36164119839668274,4.752221584320068,0.06251931368901244,0.5202240943908691,4.281539440155029,0.945610209966543,4.310739040374756,0.4311666190624237,0.8149960786246515,3.7339725494384766,0.9686363339424133,0.8588588023735024,0.8830908962775306,0.1063820374378634,0.13061413134189148,0.02423209390402814,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
MustardInLeftBinTask_seed_109,MustardInLeftBinTask,109,96,229,263,2.8669612407684326,-0.01973356047885323,0.2177889496088028,2.931091547012329,-0.007714398138849574,0.22164523601531982,2.8974835872650146,1.0022113607533778,2.8913846015930176,0.32293152809143066,0.9844886595023526,2.84269380569458,0.341218501329422,1.0042222199812059,1.0099257588922275,0.012019162340003654,0.017722701251025152,0.0057035389110215995,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
MustardInLeftBinTask_seed_113,MustardInLeftBinTask,113,96,211,239,2.407302141189575,-0.025731222480180477,0.28072088956832886,2.4843788146972656,0.14818829446765241,0.5158863663673401,2.0841567516326904,1.0117241877515395,2.45279598236084,0.2919231057167053,0.870640148024233,2.127957582473755,0.48208656907081604,0.8963713705044134,0.863535893283887,0.1739195169478329,0.14108403972730654,-0.03283547722052638,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
RubiksCubeTask_seed_101,RubiksCubeTask,101,64,223,293,2.171654224395752,-0.022526827736621135,0.36236855387687683,2.249415159225464,0.055401621237358485,0.35400453209877014,2.0781826972961426,1.0094031640950851,2.208268165588379,0.26772186160087585,0.9348655005133961,2.0648295879364014,0.4022424817085266,0.9573923282500173,0.9540015428577266,0.07792844897397962,0.074537663581689,-0.0033907853922906517,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
