task,states,native_action_l2,recipient_future_recipient_kv__donor_projection,recipient_future_recipient_kv__distance_to_recipient,recipient_future_recipient_kv__distance_to_donor,donor_future_recipient_kv__donor_projection,donor_future_recipient_kv__distance_to_recipient,donor_future_recipient_kv__distance_to_donor,donor_future_donor_kv__donor_projection,donor_future_donor_kv__distance_to_recipient,donor_future_donor_kv__distance_to_donor,recipient_future_donor_kv__donor_projection,recipient_future_donor_kv__distance_to_recipient,recipient_future_donor_kv__distance_to_donor,kv_effect_at_recipient_future,kv_effect_at_donor_future,future_effect_at_recipient_kv,future_effect_at_donor_kv,future_by_kv_interaction,donor_future_recipient_kv_follows_kv,recipient_future_donor_kv_follows_kv,both_crossed_arms_follow_kv,crossed_arm_kv_follow_fraction
BananaInBowlTask,3,2.9486775398254395,0.01028975808002947,0.2141920526822408,2.925261656443278,0.09086051220665525,0.5183577140172323,2.699248472849528,0.9974441767122824,2.948288679122925,0.2401799956957499,0.9189528501820007,2.7212294737497964,0.46897802750269574,0.9086630921019712,0.9065836645056272,0.08057075412662579,0.07849132653028183,-0.0020794275963439413,1.0,1.0,1.0,1.0
MarkerInMugTask,3,5.341298262278239,-0.0122421904777186,0.4058968623479207,5.440018018086751,0.1571869819595383,1.1640865703423817,4.432106892267863,1.0387079461211186,5.6818772951761884,0.9439673920472463,0.9010223925629086,4.859704653422038,0.9628467857837677,0.9132645830406272,0.8815209641615801,0.1694291724372569,0.13768555355820974,-0.0317436188790472,1.0,1.0,1.0,1.0
MustardInLeftBinTask,3,3.272536595662435,-0.02977583556929489,0.2867170125246048,3.389230648676554,0.06766440333927176,0.4192518989245097,3.087726593017578,0.98651525282382,3.218306541442871,0.3486737509568532,0.890041628717079,2.901541312535604,0.5973138014475504,0.9198174642863739,0.9188508494845484,0.09744023890856664,0.09647362410674105,-0.0009666148018255457,1.0,1.0,1.0,1.0
RubiksCubeTask,4,2.281956136226654,-0.018972256803476143,0.26899443939328194,2.3415422439575195,0.07333888111905461,0.368225522339344,2.14330393075943,0.9960537274313306,2.2807527780532837,0.2567939981818199,0.909746682866579,2.0993565022945404,0.37273553758859634,0.9287189396700551,0.9227148463122761,0.09231113792253075,0.08630704456475152,-0.006004093357779211,1.0,1.0,1.0,1.0
SmartphoneInBinTask,4,3.6002646684646606,-0.012245537930017657,0.2218397594988346,3.6428971886634827,0.1675380271952923,0.7620595395565033,3.06989848613739,1.010135020595022,3.654542863368988,0.29790451377630234,0.8222766892289433,3.0262258052825928,0.7723953276872635,0.834522227158961,0.8425969933997297,0.17978356512530994,0.1878583313660787,0.008074766240768722,1.0,1.0,1.0,1.0
SpoonInMugTask,4,2.755357265472412,-0.004386323822317666,0.19575104117393494,2.77734637260437,0.157230701957781,0.5841841474175453,2.3737039864063263,0.9937525739359171,2.7532598972320557,0.2592773549258709,0.8634106210111212,2.4241815209388733,0.526128813624382,0.8677969448334387,0.8365218719781361,0.16161702578009868,0.13034195292479597,-0.031275072855302705,1.0,1.0,1.0,1.0
