future_noise_seed,goal_endpoint_donor_steering__interaction,goal_endpoint_donor_steering__o1r1_minus_gaussian,goal_endpoint_donor_steering__object_main_effect,goal_endpoint_donor_steering__robot_main_effect,initial_state_index,modality,native_action_similarity__interaction,native_action_similarity__o1r1_minus_gaussian,native_action_similarity__object_main_effect,native_action_similarity__robot_main_effect,prefix_chunks,robot_endpoint_donor_steering__interaction,robot_endpoint_donor_steering__o1r1_minus_gaussian,robot_endpoint_donor_steering__object_main_effect,robot_endpoint_donor_steering__robot_main_effect,task_id,unit_id
1201,0.00018366934923386147,0.0006194336855052107,2.2126960416923858e-05,0.00031175132366101366,17,all,-0.0004082949250483296,0.003517678411898482,-0.0002672867027313161,0.0033275813738814688,14,-3.930435751553496e-05,0.0005745512765940042,-9.506794030988974e-05,0.0002864031086213803,0,task00_state17
1201,,,,,17,wrist,0.0012034157066465323,,-0.0008977066801984738,-0.00020091772842129388,14,,,,,0,task00_state17
1201,,,,,17,primary,0.004248241574282607,,0.0008552270379678052,-0.00047924796777409125,14,,,,,0,task00_state17
1201,,,,,17,proprio,0.0,,0.0,0.00039634528782675135,14,,,,,0,task00_state17
1213,0.0002872142925747223,0.001356753500780683,0.00012245997794446684,0.00041312389431091834,17,all,-0.0028578538526278577,-0.007357865121006255,0.0036010561994101707,-0.004086859911869266,14,0.00032550622379778904,0.001186020682901856,0.0001800587297424161,0.0002853103327589701,0,task00_state17
1213,,,,,17,wrist,-0.0013872244797942784,,0.0003512640076819241,0.0021382194869477298,14,,,,,0,task00_state17
1213,,,,,17,primary,0.0014975008136451189,,0.0035298966669195598,-0.0012537276410813656,14,,,,,0,task00_state17
1213,,,,,17,proprio,0.0,,0.0,-0.0006219158855554699,14,,,,,0,task00_state17
1217,-0.00022597316181871552,0.0013533737329758377,-0.00014248716888404234,0.0006208693765107909,17,all,0.006498053688221504,-0.003530747633743824,0.0023126167906662616,-0.0045563550416309155,14,0.00013653588250628346,0.001312192685241187,-0.0001179622145959236,0.0005010361328614543,0,task00_state17
1217,,,,,17,wrist,-0.0028027504541218353,,0.0018358590115985464,0.0006771852044407797,14,,,,,0,task00_state17
1217,,,,,17,primary,-0.0015208822699154974,,-0.0030052310518191207,-3.274088379390076e-05,14,,,,,0,task00_state17
1217,,,,,17,proprio,0.0,,0.0,-0.0011580988954839246,14,,,,,0,task00_state17
1201,-7.56864773365784e-05,0.0006281762250565093,0.00014586574145847298,0.00035982588863026077,35,all,-0.00037881804338749624,-0.000260124212024598,0.000146153160241508,0.0006409326069552598,13,-0.0003061143405146405,0.0008047163029891724,0.00014105338988540383,0.0004929785610022219,0,task00_state35
