correct_target_cell,decoded_primary_l1_to_target,decoded_primary_target_margin,decoded_primary_target_top1,decoded_wrist_l1_to_target,decoded_wrist_target_margin,decoded_wrist_target_top1,future_noise_seed,goal_endpoint_donor_steering,initial_state_index,prefix_chunks,robot_endpoint_donor_steering,target_cell,target_coordinate_distance,task_id,unit_id
0.0,12.274792729591837,0.6958838222789101,1.0,5.78081818664966,2.8052455357142856,1.0,1201,0.9975205737272661,17,14,0.9955854084691439,o0r0,1.4093394199290128,0,task00_state17
0.0,12.2244034332483,0.5535448554421762,1.0,5.718437765731292,2.9132785926870755,1.0,1201,0.9974508660130661,17,14,0.9955099927075918,o1r0,0.9955132563983027,0,task00_state17
0.0,12.471659757653061,0.3847921981292526,1.0,10.958074245323129,3.205277423469388,1.0,1201,0.9977404903763102,17,14,0.995891463756523,o0r1,0.9977489494890104,0,task00_state17
1.0,12.367499734268707,0.30672034438775597,1.0,9.409917091836734,4.630168473639456,1.0,1201,0.997854452011344,17,14,0.9957767436374554,o1r1,0.004737010710922997,0,task00_state17
0.0,12.274792729591837,0.6958838222789101,1.0,5.78081818664966,2.8052455357142856,1.0,1213,0.9996016619611499,17,14,0.9971201526352861,o0r0,1.4118966256022107,0,task00_state17
0.0,12.2244034332483,0.5535448554421762,1.0,5.718437765731292,2.9132785926870755,1.0,1213,0.999580514792807,17,14,0.9971374582531296,o1r0,0.9971375464896259,0,task00_state17
0.0,12.471659757653061,0.3847921981292526,1.0,10.958074245323129,3.205277423469388,1.0,1213,0.9998711787091734,17,14,0.9972427098561462,o0r1,0.999874980516169,0,task00_state17
1.0,12.367499734268707,0.30672034438775597,1.0,9.409917091836734,4.630168473639456,1.0,1213,1.0001372458334052,17,14,0.9975855216977875,o1r1,0.0024183758786925995,0,task00_state17
0.0,12.274792729591837,0.6958838222789101,1.0,5.78081818664966,2.8052455357142856,1.0,1217,0.999142481492905,17,14,0.9971130393464047,o0r0,1.4115665452108253,0,task00_state17
0.0,12.2244034332483,0.5535448554421762,1.0,5.718437765731292,2.9132785926870755,1.0,1217,0.9991129809049303,17,14,0.9969268091905557,o1r0,0.9969272038046397,0,task00_state17
0.0,12.471659757653061,0.3847921981292526,1.0,10.958074245323129,3.205277423469388,1.0,1217,0.9998763374503251,17,14,0.997545807538013,o0r1,0.9998793493485686,0,task00_state17
1.0,12.367499734268707,0.30672034438775597,1.0,9.409917091836734,4.630168473639456,1.0,1217,0.9996208637005317,17,14,0.9974961132646702,o1r1,0.0025324283044016846,0,task00_state17
0.0,12.378534226190476,1.221619897959183,1.0,6.41412893282313,3.277629411139455,1.0,1201,0.9971707218376125,35,13,0.9955703840073317,o0r0,1.4090812034807116,0,task00_state35
0.0,12.336282950680273,1.2202248086734677,1.0,6.1756483843537415,3.54823687287415,1.0,1201,0.9973544308177392,35,13,0.9958644945674744,o1r0,0.9958680086117986,0,task00_state35
0.0,12.480641475340136,0.4589777317176882,1.0,10.5517578125,2.877424798044217,1.0,1201,0.997568390964911,35,13,0.9962164197385912,o0r1,0.9975755661261537,0,task00_state35
1.0,12.501627604166666,0.35705649447278986,1.0,9.606405452806122,3.733704028486395,1.0,1201,0.9976764134677012,35,13,0.9962044159582193,o1r1,0.004450338480531651,0,task00_state35
0.0,12.378534226190476,1.221619897959183,1.0,6.41412893282313,3.277629411139455,1.0,1213,0.9980643100659621,35,13,0.9959327796045421,o0r0,1.4099696693611088,0,task00_state35
0.0,12.336282950680273,1.2202248086734677,1.0,6.1756483843537415,3.54823687287415,1.0,1213,0.9982857558009474,35,13,0.996142534967703,o1r0,0.9961440099729835,0,task00_state35
0.0,12.480641475340136,0.4589777317176882,1.0,10.5517578125,2.877424798044217,1.0,1213,0.9988919411860494,35,13,0.9968320762811103,o0r1,0.9988969646100255,0,task00_state35
1.0,12.501627604166666,0.35705649447278986,1.0,9.606405452806122,3.733704028486395,1.0,1213,0.9988134995000203,35,13,0.9968122282622529,o1r1,0.0034014220685517987,0,task00_state35
0.0,12.378534226190476,1.221619897959183,1.0,6.41412893282313,3.277629411139455,1.0,1217,0.9976883325150054,35,13,0.9960786572409784,o0r0,1.4098066180322615,0,task00_state35
0.0,12.336282950680273,1.2202248086734677,1.0,6.1756483843537415,3.54823687287415,1.0,1217,0.9975663797289465,35,13,0.9957688822363869,o1r0,0.9957718560684105,0,task00_state35
0.0,12.480641475340136,0.4589777317176882,1.0,10.5517578125,2.877424798044217,1.0,1217,0.9986639092971576,35,13,0.9970150819156571,o0r1,0.9986683701152509,0,task00_state35
1.0,12.501627604166666,0.35705649447278986,1.0,9.606405452806122,3.733704028486395,1.0,1217,0.9982848139188126,35,13,0.9966529901017304,o1r1,0.003760895977318944,0,task00_state35
0.0,12.833193824404763,0.42907631802721014,1.0,10.364264455782314,1.3949431335034,1.0,1201,0.9982902871753806,17,11,0.9962103170208201,o0r0,1.4103256692010633,1,task01_state17
0.0,13.161511479591837,0.13177614795918302,1.0,9.296223958333334,2.12557132227891,1.0,1201,0.9982521465637321,17,11,0.9961321908425712,o1r0,0.9961337242682106,1,task01_state17
0.0,12.603734853316327,0.5993170705782305,1.0,10.271238573554422,2.863181600765305,1.0,1201,0.9986116884563461,17,11,0.9964391490721339,o0r1,0.998618037079726,1,task01_state17
1.0,12.56434018920068,0.475566007653061,1.0,10.649825946003402,2.449305112670068,1.0,1201,0.9987180391944244,17,11,0.9965730415359205,o1r1,0.003658888878000819,1,task01_state17
0.0,12.833193824404763,0.42907631802721014,1.0,10.364264455782314,1.3949431335034,1.0,1213,0.9972892120781457,17,11,0.9951469128426617,o0r0,1.4088659093993752,1,task01_state17
