state_id,task_id,recipient,source,off_diagonal,gaussian_template_prediction,gaussian_source_correct,gaussian_projection,gaussian_distance_reduction,native_template_prediction,native_donor_correct,native_projection,native_distance_reduction
task00_state010,0,0,0,False,0,1,0.0,0.0,3,0,0.0,0.0
task00_state010,0,0,1,True,0,0,0.4973616453770621,-0.0030647983532986756,3,0,-0.6879287629792548,-0.030574840444632274
task00_state010,0,0,2,True,0,0,-0.11750220961041513,-0.7043553343737132,3,0,-0.6159116092920675,-0.019344432433979077
task00_state010,0,0,3,True,0,0,0.31749489415237564,-0.1601271026197985,3,1,1.1929658703348471,0.016121485054576157
task00_state010,0,1,0,True,0,1,0.6205593506902362,0.14778290105043654,3,0,0.08588974297791951,-0.015198474479950376
task00_state010,0,1,1,False,1,1,0.0,0.0,3,0,0.0,0.0
task00_state010,0,1,2,True,0,0,-0.29297498032418684,-0.22552757963984693,3,0,-0.40644294255352575,-0.015403204375640096
task00_state010,0,1,3,True,0,0,0.641406422441373,0.15931234998280414,3,1,0.9871484578452712,0.015104859419100558
task00_state010,0,2,0,True,2,0,0.04245490899310301,-0.7192214510451361,3,0,-1.3413176669376194,-0.05548357931954672
task00_state010,0,2,1,True,2,0,-0.33882232641911836,-0.22443504435268063,3,0,-4.344310304186112,-0.04170625509525593
task00_state010,0,2,2,False,2,1,0.0,0.0,3,0,0.0,0.0
task00_state010,0,2,3,True,2,0,0.12935874164514494,-0.5425001826474993,3,1,1.757089620835707,0.035772197080888704
task00_state010,0,3,0,True,3,0,0.40670126698519676,-0.12456489435339228,3,0,-1.2000889414614515,-0.07359491421463736
task00_state010,0,3,1,True,1,1,0.6820197091603024,0.23218337935632885,3,0,-2.149220150934045,-0.10728572666814885
task00_state010,0,3,2,True,3,0,0.18602552664253194,-0.4557556585584607,3,0,-2.430600979676393,-0.061562133259460125
task00_state010,0,3,3,False,3,1,0.0,0.0,3,1,0.0,0.0
task00_state020,0,0,0,False,0,1,0.0,0.0,0,1,0.0,0.0
task00_state020,0,0,1,True,0,0,0.4671318880764834,-0.03674572854053474,0,0,-1.7489647831859643,-0.10412759343662896
task00_state020,0,0,2,True,0,0,-0.14684867409154623,-0.679453352783306,0,0,-1.9758673366276545,-0.0896121164234908
task00_state020,0,0,3,True,0,0,0.29362971946228444,-0.17772354087502534,0,0,-2.1023770511307345,-0.06905288131617725
task00_state020,0,1,0,True,0,1,0.6064495057255087,0.12683693938624327,0,1,1.4986337703123327,0.06662162045789081
task00_state020,0,1,1,False,1,1,0.0,0.0,0,0,0.0,0.0
task00_state020,0,1,2,True,0,0,-0.3341395838707589,-0.2370745949580521,0,0,-1.235329873345554,-0.02966501955692027
task00_state020,0,1,3,True,0,0,0.6157481925412404,0.12617779960113282,0,0,-0.5120078896598507,-0.027342317601474427
task00_state020,0,2,0,True,2,0,0.0466373675777483,-0.7171794498718094,0,1,1.0145353495788647,0.04588123144931154
task00_state020,0,2,1,True,2,0,-0.352688327103167,-0.2327963232950555,2,0,-1.9490444775487865,-0.03329556318889307
task00_state020,0,2,2,False,2,1,0.0,0.0,0,0,0.0,0.0
task00_state020,0,2,3,True,2,0,0.07444273252954667,-0.5642783621248058,0,0,-0.6546281285012665,-0.034419968610285276
task00_state020,0,3,0,True,3,0,0.39640062838867335,-0.1445841242028174,0,1,1.776146660897551,0.06060698750884761
task00_state020,0,3,1,True,1,1,0.6540184527617241,0.19271793135645504,0,0,-0.6448082390174257,-0.03733399811783168
task00_state020,0,3,2,True,3,0,0.14566876741130227,-0.47501037232305054,0,0,-1.124644376142523,-0.029417342791858772
task00_state020,0,3,3,False,3,1,0.0,0.0,0,0,0.0,0.0
task00_state030,0,0,0,False,0,1,0.0,0.0,0,1,0.0,0.0
task00_state030,0,0,1,True,1,1,0.5072742496163526,0.008130471531599829,0,0,-0.948428235134636,-0.1426225380769051
task00_state030,0,0,2,True,0,0,-0.13226980193409527,-0.6785832918133741,0,0,-1.1438415140851208,-0.0887245535931331
task00_state030,0,0,3,True,0,0,0.22054500193939966,-0.22002356208662482,0,0,-1.1486784650199668,-0.09580161257340145
