state_id,task_id,gaussian_source_retrieval_offdiag,native_donor_alignment_offdiag,gaussian_projection_offdiag,native_projection_offdiag,gaussian_distance_reduction_offdiag,native_distance_reduction_offdiag,native_recipient_retention_offdiag
task00_state010,0,0.16666666666666666,0.25,0.23117357914446715,-0.762727305502227,-0.2183561179628547,-0.029429584894723786,0.25
task00_state020,0,0.16666666666666666,0.25,0.2055375557840866,-0.6381963645309177,-0.2349260982192188,-0.023429746802292543,0.3333333333333333
task00_state030,0,0.25,0.16666666666666666,0.21169385020237996,-0.1699773910315142,-0.25500416156905387,-0.05803505891520839,0.5
task01_state010,1,0.08333333333333333,0.25,0.1665929412130726,-0.04225005449775895,-0.27085313428338903,0.005018950522066333,0.25
task01_state020,1,0.08333333333333333,0.25,0.15380513103566756,-0.10397141847274277,-0.2530092797558434,-0.00415353802973024,0.25
task01_state030,1,0.16666666666666666,0.16666666666666666,0.20306526985163229,-0.5144094376361823,-0.22219485311145826,-0.026568208499316546,0.4166666666666667
task02_state010,2,0.08333333333333333,0.25,0.13124754718842163,0.16675888241724302,-0.3789646360668519,-0.0060030076775132,0.25
task02_state020,2,0.25,0.25,0.17780603767918504,0.10143712428836282,-0.3353237201700319,-0.007299886372596103,0.25
task02_state030,2,0.08333333333333333,0.25,0.11588656687827148,0.3532555264235521,-0.38796029290707185,-0.007839509461938636,0.25
task03_state010,3,0.0,0.08333333333333333,0.12865707921194078,0.08053498432560936,-0.39857972372799777,-0.021634322859606234,0.75
task03_state020,3,0.16666666666666666,0.25,0.1720646709873803,-0.036477818501786864,-0.3592327438400535,-0.009264529058400963,0.25
task03_state030,3,0.08333333333333333,0.08333333333333333,0.14641760026877151,-0.13704509750212693,-0.37586306875670134,-0.019168091462594978,0.75
task04_state010,4,0.08333333333333333,0.3333333333333333,0.15934846010683643,-0.1626004430849206,-0.24358099378238104,-0.001970652785793387,0.25
task04_state020,4,0.08333333333333333,0.25,0.14294535445238754,-0.07983337482901028,-0.29221089278453327,-0.026087049025944886,0.25
task04_state030,4,0.08333333333333333,0.25,0.15813436905679376,-0.4579948238744973,-0.26514789589311966,-0.005066459920507885,0.25
task05_state010,5,0.08333333333333333,0.25,0.15078249665401192,0.08011596555165097,-0.31603755617384116,-0.0011734584868198859,0.25
task05_state020,5,0.08333333333333333,0.16666666666666666,0.1324074585576415,0.03734230973717917,-0.3012443315928673,-0.023158405779613978,0.6666666666666666
task05_state030,5,0.08333333333333333,0.25,0.1269861536046126,-0.0038659732149398294,-0.3269368242449064,0.002686906227505656,0.25
task06_state010,6,0.08333333333333333,0.25,0.18933865474611467,-0.31352858416302337,-0.2818868161166482,-0.014246726245427324,0.25
task06_state020,6,0.16666666666666666,0.16666666666666666,0.20501422317598625,0.0192933909574388,-0.29701613316216474,-0.03042890924010302,0.3333333333333333
task06_state030,6,0.08333333333333333,0.16666666666666666,0.20047735244308443,-0.3959225328032145,-0.3075167127312008,-0.02121672505078855,0.5
task07_state010,7,0.16666666666666666,0.0,0.16956247727891113,-0.9847219730463254,-0.2519373293103088,-0.023470076142214857,0.8333333333333334
task07_state020,7,0.16666666666666666,0.16666666666666666,0.1709280189537573,-0.06652516479009624,-0.24588261352966698,-0.04669255125370958,0.4166666666666667
task07_state030,7,0.16666666666666666,0.25,0.174409772467816,0.13912621718489093,-0.23851608176477826,-0.006682117569002051,0.25
task08_state010,8,0.0,0.25,0.126913447297832,0.16526895252933393,-0.40574384241316563,-0.001401242383283453,0.25
task08_state020,8,0.16666666666666666,0.25,0.15527453142914024,0.27975547847106724,-0.37525136743556287,0.005245523162487394,0.25
task08_state030,8,0.0,0.25,0.12849967125238596,0.31799706492199936,-0.3896714982208982,0.017064217188094026,0.25
task09_state010,9,0.08333333333333333,0.25,0.17935953610870217,0.023278134599033124,-0.36083564046184385,-0.0003244615922123704,0.25
task09_state020,9,0.16666666666666666,0.25,0.19718974497196803,-0.007498837818063264,-0.3374182584934419,-0.004897948692746575,0.25
task09_state030,9,0.16666666666666666,0.25,0.200541000617773,0.19917749235040946,-0.33513730976291906,-0.01607339353303405,0.25
