metric,estimate,bootstrap_mean,bootstrap_95_ci_low,bootstrap_95_ci_high,n_states,repetitions,seed
interior_slope,1.0733742481898816,1.0733390246068797,1.0394117689531157,1.1086219176170966,30,50000,260906
interior_nondecreasing_fraction,1.0,1.0,1.0,1.0,30,50000,260906
interior_mean_absolute_alpha_deviation,0.03295027228029273,0.03294274043374216,0.026025562417055212,0.04061100855071912,30,50000,260906
projection_alpha_0.00,0.0,0.0,0.0,0.0,30,50000,260906
projection_alpha_0.25,0.2208849490666303,0.22090481311570126,0.20560725037728658,0.2364305591800026,30,50000,260906
projection_alpha_0.50,0.48748887389626455,0.48749283001610055,0.473454040504043,0.5023373544022413,30,50000,260906
projection_alpha_0.75,0.757572073161571,0.7575743254191409,0.7467889181358109,0.7690666217254422,30,50000,260906
projection_alpha_1.00,1.0,1.0,1.0,1.0,30,50000,260906
