alpha,estimate,bootstrap_95_ci_low,bootstrap_95_ci_high,n_states
0.0,0.0,0.0,0.0,30
0.25,0.2208849490666303,0.20560725037728658,0.2364305591800026,30
0.5,0.48748887389626455,0.473454040504043,0.5023373544022413,30
0.75,0.757572073161571,0.7467889181358109,0.7690666217254422,30
1.0,1.0,1.0,1.0,30
