state_id,task_id,initial_state_index,endpoint_distance_l2,interior_slope,interior_nondecreasing,interior_mean_absolute_alpha_deviation,projection_alpha_0.00,projection_alpha_0.25,projection_alpha_0.50,projection_alpha_0.75,projection_alpha_1.00
task00_state010,0,10,0.11975775499516296,0.9755687404874571,1,0.022429575145494762,0.0,0.2344539165747921,0.476019071170203,0.7222382868185206,1.0
task00_state020,0,20,0.16465276891387193,0.9986247793338565,1,0.039626322669416986,0.0,0.21412456075877498,0.45355952080727086,0.7134369504257032,1.0
task00_state030,0,30,0.22620899272545603,1.0557532276792703,1,0.03599809909638557,0.0,0.20544982767141123,0.45322943352838574,0.7333264415110463,1.0
task01_state010,1,10,0.17838262933787766,0.9833021739597433,1,0.025961855512442178,0.0,0.2857939217422693,0.5146466360729163,0.777445008722141,1.0
task01_state020,1,20,0.4988934670306921,1.1734688704432257,1,0.032194073987882266,0.0,0.1841529209150406,0.4901522132579661,0.7708873561366535,1.0
task01_state030,1,30,0.13549479046966376,1.1275781345251075,1,0.021509930023095352,0.0,0.22715111558287238,0.4992592771932677,0.7909401828454261,1.0
task02_state010,2,10,0.1699425696737149,1.0981822694825523,1,0.03442271740381018,0.0,0.2525702202915779,0.5490365768869987,0.801661355032854,1.0
task02_state020,2,20,0.12618579825449588,1.0673181231465718,1,0.011805415089712437,0.0,0.23595660783354963,0.49824281630414863,0.7696156694068356,1.0
task02_state030,2,30,0.6520920002898771,1.185426204975035,1,0.08243314964729795,0.0,0.13637770240434086,0.3872320437619069,0.7290908048918584,1.0
task03_state010,3,10,0.30371939586533486,1.133290434675028,1,0.05002896034989532,0.0,0.1711622359156815,0.440943429781437,0.7378074532531955,1.0
task03_state020,3,20,0.21827178323537172,1.3071353940587247,1,0.05552591045221914,0.0,0.16054015203904093,0.5130100343272951,0.8141078490684033,1.0
task03_state030,3,30,0.13554066010145568,1.0869360742580885,1,0.022822939369254086,0.0,0.22215535681985835,0.525000780978718,0.7656233939489026,1.0
task04_state010,4,10,0.1424040419229975,1.0605577252627245,1,0.044911265732691795,0.0,0.19341729355607373,0.4481527530584149,0.723696156187436,1.0
task04_state020,4,20,0.48971787174906745,1.2642858868880689,1,0.04985675260607763,0.0,0.16043702412511715,0.4825726856258016,0.7925799675691516,1.0
task04_state030,4,30,0.21894199162751019,1.050011382232559,1,0.015889272182396025,0.0,0.22290257447380687,0.48152134338891867,0.7479082655900864,1.0
task05_state010,5,10,0.13252454207815414,1.062754990758369,1,0.02021369772582444,0.0,0.21474643865545093,0.47848853413244025,0.7461239340346355,1.0
task05_state020,5,20,0.5623445984637088,1.158221043216726,1,0.034042999279091,0.0,0.18820534922202417,0.47698152377108993,0.7673158708303871,1.0
task05_state030,5,30,0.07784541334946213,0.8892446908430776,1,0.021101623527342683,0.0,0.29098427511861147,0.5079272160035668,0.7356066205401502,1.0
task06_state010,6,10,0.07821155753242119,0.9621476039435768,1,0.010048180112762733,0.0,0.2482184469123195,0.49234476386528436,0.7292922488841079,1.0
task06_state020,6,20,0.3084631789705075,1.0318810166805754,1,0.0950495779964919,0.0,0.3261627666472312,0.6168826923547256,0.8421032749875189,1.0
task06_state030,6,30,0.21462653110335478,1.1247816363196461,1,0.032264186210684026,0.0,0.18868267949472542,0.46559825952777095,0.7510734976545484,1.0
task07_state010,7,10,0.04936532635618691,0.9469129896089721,1,0.011215176229642502,0.0,0.25826366954732294,0.49289797650658645,0.731720164351809,1.0
task07_state020,7,20,0.23654156806243817,0.9914825644843488,1,0.014293195729334176,0.0,0.2400561462894593,0.48126683799090453,0.7357974285316337,1.0
task07_state030,7,30,0.08184626110816592,0.9671126488629432,1,0.009783504681027455,0.0,0.2646255214165076,0.512906838474554,0.7481818458479792,1.0
task08_state010,8,10,0.3594505628855709,1.2100987270115775,1,0.04935063165023415,0.0,0.19846422243632258,0.4569974685550863,0.8035135859421113,1.0
task08_state020,8,20,0.3089653235312549,1.0316294568188016,1,0.033821402578188976,0.0,0.27026792408385997,0.5451136311574463,0.7860826524932607,1.0
task08_state030,8,30,0.3102694327541081,1.0003533246762255,1,0.006154574453096436,0.0,0.24162491405383774,0.5018902138050775,0.7418015763919504,1.0
task09_state010,9,10,0.24788233455859773,1.0528845941280396,1,0.038112215153344293,0.0,0.19359808316505775,0.4720248911458318,0.7200403802290776,1.0
task09_state020,9,20,0.3454467619746253,1.0140509961248743,1,0.016740368520272702,0.0,0.23720036372402276,0.46835266892869926,0.7442258617864599,1.0
task09_state030,9,30,0.23408149389812885,1.190231740810682,1,0.05090059529337273,0.0,0.15880224052794906,0.44241408452522285,0.7539181109332901,1.0
