core_result_sha256,dose_all_five_linear_slope_descriptive,dose_all_five_monotonic_descriptive,dose_endpoint_one_projection,dose_endpoint_zero_error,dose_interior_linear_slope,dose_interior_monotonic,input_fingerprint,state_id,state_index,task_family
3bca0dbad3ca175c8aa48c2eba034e66cf9cd2c611050e6cb8091afbbcf3527f,1.1587959761519266,1,0.9839923453902888,0.0,1.858010499198476,1,46813f01ec1de93ffe4a4a4834a40a286e79de3fa35657b7411e228927795253,droid_episode_041320_frame_000077,0,put
889a279cfd78ffe84378e7df3696cfeb2eea5f4978c56704044cc5949872181d,1.142025588832583,1,0.9905886422664819,0.0,1.7477733750969868,1,2fea0efa056153ed9c62e72a18cd202484a4c1b36b72af5a9218279dca4c5de6,droid_episode_039259_frame_000062,1,put
19bebe7b069faad61614ff5b2d19b066ec15b850d2a8919fdbac1544ff762c64,1.0401558928321206,1,0.9620481097098668,0.0,1.3525870253211356,1,2d9c3736c389857a530a180cfa98bf7c5068a6bdcec9699b5bfe8894818b9f5c,droid_episode_006474_frame_000068,2,put
7b18cb756e5fe8da4bb8eb8d7c21e703f129833f9384f2cd545e2350df8ba248,1.2024511097092583,1,1.0175975567754474,0.0,1.9418653214445003,1,9a973d014f50e02879b6f9e1dbcecaf9505ea6374b56269086d74a5550b46424,droid_episode_016591_frame_000130,3,pick
8c052f22c5fa22b80e32728575ccb0296d8f8bea509e62aea426c86c222b4474,1.210418984274638,0,1.0118176922104356,0.0,2.004824152531446,1,cb28871cf5a4a0b876e59b76f0d199a6ae96bf01c483dfb4e145a1c906bc3fe9,droid_episode_036175_frame_000107,4,pick
6d17b4543ee951706f2f5a8f37338bffe125fd3d8e9afd44c9e54fc833f52018,1.1758375770014278,1,1.0040478904349877,0.0,1.8629963232671876,1,50a78a9121a496feeb5ee6fad5f7f1665912a654ce21ea790f5661f3c7a371f3,droid_episode_011699_frame_000330,5,pick
b931b725b9a83493de2a4270e7bb728da9287b87f7a0420846d86491816e6970,1.1623236116449205,1,0.9885357446935173,0.0,1.8574750794505324,1,46894f71833f88c6946297eb2179e0bc585d7d67d631ab82668d1b0ced3cbdf8,droid_episode_034636_frame_000261,6,move
48f2b0e0e13d4fd60e2e2621cec3afb8a12d22aa130b23d60256caf1ce64866c,1.1836484738756052,1,0.997126327112929,0.0,1.9297370609263091,1,6f8a7ff3cf8d2d2e5d88d7b6a527e95577c1a8bfa1f9481287197903d5d051da,droid_episode_012839_frame_000207,7,move
791c5053ac06397f32d2add881240dbb1b133fd039ad398fb77d801418ecd85f,1.157667662365299,1,1.0416036387039522,0.0,1.6219237570106857,1,bcd02383654ee479a88744016e0bf15e4bdd79fa223b14d4c5b95809f86ec22c,droid_episode_016483_frame_000077,8,move
6fa94e3df2e91c9f35908146afd3c53e1443eff70ab24ab3c8358d93e31fef35,1.1584015812298822,1,1.0016500096612269,0.0,1.7854078675045024,1,a78752d558b399b03a5904d4ff5e5cf311156d3c7a3a7a0e42090ff2844b8feb,droid_episode_018290_frame_000160,9,remove
d44acb2324c657b5de8c1544b63be13f58cc71c597e0cf9916f381dc8097d2ea,1.1750264559080486,0,0.9742928538309719,0.0,1.9779608642163549,1,494750a1de64f3869506dd8fc3061c41fa4f8e7308193e2063764116e8dae2d2,droid_episode_011256_frame_000212,10,remove
dbeae3945a001aad681c294b6c1dde0aac8e7e6c07dfe66ef4ec732e18295090,1.1872816832253792,1,1.0382788667327234,0.0,1.783292949196002,1,e28a64f1bbb129cec9e62d13970ea28ea0c23052c2e2059b7d1f7f3f3a8101cd,droid_episode_031870_frame_000098,11,remove
9b7678242bdc11d88dbae738f7a96f31bbfa235a49fcdb2ef3d8d0ea066ae7fd,1.0848213957913917,1,0.951341356564456,0.0,1.6187415526991344,1,e0aa898c238dfd28948d0ba3edc9566feb0c9bf2c59b2535b39fd034f78f0fa2,droid_episode_010336_frame_000067,12,take
5d53f36d4d0cf5b9d07168a9fea5bf086ce2dd085f6029d5dbf57540a73a3f75,1.2023845151994286,0,1.0049453015157646,0.0,1.9921413699340844,1,dd3c3c08fda8f122dcd6b500b359dea33a648db545af41ed950dae9553a728e2,droid_episode_038079_frame_000074,13,take
53cb3b7143430adfb931b95ff2aa901f9c73585e7a1cb1d7c208c83a4ba872f9,1.1028352156415697,1,0.9383630653977098,0.0,1.760723816617009,1,339374089916eaec9016c89008ebd7e8a2113f754cae88946068828c85d2cda0,droid_episode_007416_frame_000134,14,take
