layers,all_key_control_action_max_abs_error,future_blocked_action_l2_from_baseline,action_donor_steering,state_donor_steering,proprio_donor_steering,endpoint_primary_donor_preference
all,0.0,1.3667176961898804,-7.8588091882393405,-13.379302147305111,-20.716913414867665,0.8142191569010414
21-27,0.0,1.2070778608322144,-7.4626402050918035,,,,
0,0.0,0.02182326838374138,-0.1510894201523434,0.056394098028600494,-0.1261403552423823,0.12058512369791674
27,0.0,0.04398390278220177,-0.2214821586047303,-0.18901337328592144,-0.23783591843034524,0.1523132324218751
27-current-control,0.0,0.08845459669828415,-0.24917115866035755,0.5204126144443953,0.3699408641126342,0.20499674479166663
