alpha,mean,n_states,state_bootstrap_95_ci
0.0,0.0,30,"[0.0, 0.0]"
0.25,0.04595798965143446,30,"[0.030440325034499574, 0.06268602224478839]"
0.5,0.4647123494044469,30,"[0.41115236419741574, 0.5183500129667296]"
0.75,0.938782910472088,30,"[0.9138786180033623, 0.9598497317002337]"
1.0,0.9850636743531014,30,"[0.9699051684907, 0.9975451246249788]"
