core_result_sha256,gaussian_perturbation_normalized,gaussian_recipient_preservation,input_fingerprint,max_trace_norm_relative_error,state_id,state_index,task_family
6c4bfe861f8fc46eabaaae5d2aa0aa21bf93146d03b95e7ef60a39711abac8b3,0.7917682411196183,0.25,dc261c23fc11a130dd7bb7c998b41f957205d546b0257c1fd85af2ae1818f117,1.4191574948237967e-05,droid_episode_048372_frame_000095,20,place
1bd50651c44c5fc5187db3d50933c35c06df613ee41e0f27f970ee95c26791ac,1.6403503321917916,0.25,d3fbbd08966fd266887004f357dfdef16e0da5143d33881706a75957965d9023,2.488253204110942e-05,droid_episode_006011_frame_000178,21,use
9dd5b54f7f591731a8353dfd5845518cb13931ce64c90984e9b8011fadbd910d,2.230691983470525,0.25,1ebeed1a52aa07e3b91e0212dbac0b9d91f230bf1fb0afae35a255d3d277277d,2.4413985510909948e-05,droid_episode_051025_frame_000156,22,use
62c434501c0690013acc1d99fce13357a2cb0b9b24f479b6550f1a5b0337e9da,1.269269990573095,0.25,e5e96733db0302fa1200ddf74cac66bb96ea4cd4b4249641c781f94e28ba44d7,2.4584566172080275e-05,droid_episode_019839_frame_000146,23,use
421e84d5039805fb0e9ad58189fde043af158cb412031cf9fe3f88288dddc52b,2.743223400854005,0.25,6ac4f85fdf3f923e93ba416d562b45eee38cb49dcb5717fe2f07f66a02944e45,1.3524131926334369e-05,droid_episode_022570_frame_000068,24,turn
920c008b93f865815cb861bbdd0348382bd806a0890429d75c74918dac3146af,2.7664502418990873,0.25,09aa167c5d7be8b8d0b7d0de976f165364603ce8c799f0c74c1012b732f42eb5,1.8566649065858435e-05,droid_episode_023493_frame_000059,25,turn
c2e5b16e83408655ed6f6158415422052af3ee8843addbb472fe1bf78737254e,1.0568041210821981,0.25,6eb721f4190580284e99150ed17f0af3b6da51a45a50d0ca13204a7ac1106f52,1.7092656802203887e-05,droid_episode_050050_frame_000130,26,turn
7abb75ae78c30b4e256a6758ab5271f44c62590c52fd91044ebbe91152270344,3.1735524425338593,0.5,1b4c1691b972c1733867dcbc45f746ea961ad9ef3c16e8981cd85c1b79019e56,1.7545840415241385e-05,droid_episode_042965_frame_000072,27,press
f538165d2a3de2341a26fdbe1fef47ee39709118213f0b480f8e9e8d7cc8743d,5.378767532679129,0.25,6ec97dbd1c1df4fe98ef1facced598b3f46b553ab219af0c7ad9f4f42184de1a,2.0180317157780036e-05,droid_episode_043719_frame_000060,28,press
9d2253d43a0d7e6d85ab6c0cb3f03dcf361080b488457d440027258724bbcee9,2.408213342174051,0.5,eb139302d609c7335942932ae00ccd12d6d3b7d046a03df4d5a0a738bd9b1828,1.6689997043631622e-05,droid_episode_019784_frame_000061,29,press
