action_donor_steering,contrast,direction,future_noise_seed,goal_endpoint_donor_steering,goal_endpoint_projected_l2,initial_state_index,pair_type,prefix_chunks,robot_endpoint_donor_steering,robot_endpoint_projected_l2,task_id,unit_id
0.08501880590781591,robot_all_donor_minus_gaussian,reverse,1217,,,17,robot,13,0.09020223538900496,0.0003359979581282951,1,task01_state17
0.05416354776743071,object_all_donor_minus_recipient,forward,1201,0.49404960611316795,0.002002936549710288,17,object,7,,,2,task02_state17
-0.006283146922220761,object_wrist_donor_minus_recipient,forward,1201,,,17,object,7,,,2,task02_state17
-0.02600007615875946,object_primary_donor_minus_recipient,forward,1201,,,17,object,7,,,2,task02_state17
-0.04456732615569117,object_proprio_donor_minus_recipient,forward,1201,,,17,object,7,,,2,task02_state17
0.0928260303556348,object_all_donor_minus_gaussian,forward,1201,0.4973385592059627,0.0020162703612918165,17,object,7,,,2,task02_state17
-0.2091513274152556,object_all_donor_minus_natural_control,forward,1201,0.3406706976515069,0.0013811199994868684,17,object,7,,,2,task02_state17
0.07525144878085327,object_all_donor_minus_recipient,forward,1213,0.15428414493447534,0.0006254864878068034,17,object,7,,,2,task02_state17
0.005554248957627683,object_wrist_donor_minus_recipient,forward,1213,,,17,object,7,,,2,task02_state17
-0.02068853117537564,object_primary_donor_minus_recipient,forward,1213,,,17,object,7,,,2,task02_state17
-0.03517292362642031,object_proprio_donor_minus_recipient,forward,1213,,,17,object,7,,,2,task02_state17
0.05657599443330391,object_all_donor_minus_gaussian,forward,1213,0.13804117126286541,0.0005596355181060053,17,object,7,,,2,task02_state17
-0.13027593050658193,object_all_donor_minus_natural_control,forward,1213,-0.34703827374061025,-0.0014069349191307974,17,object,7,,,2,task02_state17
0.0818688370122066,object_all_donor_minus_recipient,forward,1217,0.27898170601481,0.0011310254046627002,17,object,7,,,2,task02_state17
0.0026043644863017468,object_wrist_donor_minus_recipient,forward,1217,,,17,object,7,,,2,task02_state17
0.06736313458627982,object_primary_donor_minus_recipient,forward,1217,,,17,object,7,,,2,task02_state17
0.01841199206915918,object_proprio_donor_minus_recipient,forward,1217,,,17,object,7,,,2,task02_state17
0.06585150282560182,object_all_donor_minus_gaussian,forward,1217,0.6178280201432393,0.0025047491338280325,17,object,7,,,2,task02_state17
-0.09928722691828867,object_all_donor_minus_natural_control,forward,1217,0.1570713957456935,0.0006367863379714846,17,object,7,,,2,task02_state17
-0.00983262956041675,object_all_donor_minus_recipient,reverse,1201,-0.3960936014144531,-0.0016058111201037175,17,object,7,,,2,task02_state17
0.003742774865559184,object_all_donor_minus_gaussian,reverse,1201,-0.42623562502527673,-0.0017280105106615153,17,object,7,,,2,task02_state17
0.0017520510575211867,object_all_donor_minus_recipient,reverse,1213,-0.05832531686638365,-0.00023645785257109231,17,object,7,,,2,task02_state17
0.006801780988902495,object_all_donor_minus_gaussian,reverse,1213,0.1706957021231715,0.0006920209153706837,17,object,7,,,2,task02_state17
-0.02487705838181775,object_all_donor_minus_recipient,reverse,1217,0.3369593516649261,0.0013660737562894987,17,object,7,,,2,task02_state17
0.02470767017568365,object_all_donor_minus_gaussian,reverse,1217,0.5590873770891444,0.0022666074989178275,17,object,7,,,2,task02_state17
0.6069519681536467,robot_all_donor_minus_recipient,forward,1201,,,17,robot,7,0.6481009856128108,0.0035009518753634154,2,task02_state17
0.5502494606364183,robot_wrist_donor_minus_recipient,forward,1201,,,17,robot,7,,,2,task02_state17
0.034146254364183296,robot_primary_donor_minus_recipient,forward,1201,,,17,robot,7,,,2,task02_state17
0.0017236425005088696,robot_proprio_donor_minus_recipient,forward,1201,,,17,robot,7,,,2,task02_state17
0.5771441687912069,robot_all_donor_minus_gaussian,forward,1201,,,17,robot,7,0.6618658546596572,0.003575307793921574,2,task02_state17
0.5933689284508812,robot_all_donor_minus_recipient,forward,1213,,,17,robot,7,0.7039032155832894,0.0038023878027905033,2,task02_state17
0.5292321070275365,robot_wrist_donor_minus_recipient,forward,1213,,,17,robot,7,,,2,task02_state17
0.022179397304232407,robot_primary_donor_minus_recipient,forward,1213,,,17,robot,7,,,2,task02_state17
-0.002711222986306692,robot_proprio_donor_minus_recipient,forward,1213,,,17,robot,7,,,2,task02_state17
0.5639300129366482,robot_all_donor_minus_gaussian,forward,1213,,,17,robot,7,0.6750087492384272,0.0036463038924381373,2,task02_state17
0.4943058489948876,robot_all_donor_minus_recipient,forward,1217,,,17,robot,7,0.7014861301318434,0.003789331041526435,2,task02_state17
0.48317231351342244,robot_wrist_donor_minus_recipient,forward,1217,,,17,robot,7,,,2,task02_state17
0.028905327243206547,robot_primary_donor_minus_recipient,forward,1217,,,17,robot,7,,,2,task02_state17
0.04282838118226823,robot_proprio_donor_minus_recipient,forward,1217,,,17,robot,7,,,2,task02_state17
0.48262670099948884,robot_all_donor_minus_gaussian,forward,1217,,,17,robot,7,0.6626181451261071,0.0035793715629603537,2,task02_state17
0.5825167806073079,robot_all_donor_minus_recipient,reverse,1201,,,17,robot,7,0.6921134804431262,0.003738701284384788,2,task02_state17
0.5709451098042719,robot_all_donor_minus_gaussian,reverse,1201,,,17,robot,7,0.6893097855937983,0.003723556112631315,2,task02_state17
0.543638347273271,robot_all_donor_minus_recipient,reverse,1213,,,17,robot,7,0.6353698701716596,0.003432180150788699,2,task02_state17
0.5498950020999571,robot_all_donor_minus_gaussian,reverse,1213,,,17,robot,7,0.6065431715196805,0.003276462312139285,2,task02_state17
0.5177248299710491,robot_all_donor_minus_recipient,reverse,1217,,,17,robot,7,0.6111500581996302,0.0033013480767342977,2,task02_state17
0.524645250290875,robot_all_donor_minus_gaussian,reverse,1217,,,17,robot,7,0.491004106202493,0.002652336263299114,2,task02_state17
