branches,candidate_rank,common_recipients,eligible,initial_state_index,joint_pairs,maximum_action_l2,maximum_object_goal_l2,maximum_robot_gripper_l2,maximum_robot_orientation_angle_rad,maximum_robot_position_l2_m,median_action_l2,median_object_goal_l2,median_robot_gripper_l2,median_robot_orientation_angle_rad,median_robot_position_l2_m,object_pairs,prefix_chunks,robot_pairs,task_id,unit_id
64,3,0,False,35,0,0.06798507399426948,0.0012994462809048084,2.2926823311746807e-06,0.004828981552878308,0.0013016945680751858,0.04060318061969944,0.000506133579542546,4.889545150114262e-07,0.0013471840513898541,0.0005052134580113143,0,12,0,1,task01_state35
64,1,0,False,17,0,0.06015788976260923,0.013212990209613973,0.0003657576678429457,0.0048487334793881716,0.0008047405145795086,0.03833646285732925,0.0022497720911912045,0.00010628904911401687,0.0016244603421036305,0.00020851880342895448,737,6,0,2,task02_state17
32,2,24,True,17,51,0.31375977755885354,0.008237447150668542,2.388083528749212e-05,0.016324733945577825,0.010478126760814823,0.09919325039652563,0.0017115190912382894,4.480055768564162e-06,0.004888534176099375,0.0024824260150283486,73,7,27,2,task02_state17
64,1,0,False,35,0,0.07265450571043504,0.004031460156822875,0.000622299261915606,0.004078592223077419,0.00017672034020866425,0.04081536768870106,0.0010661797085870228,0.00011949791408317017,0.0013167743713133448,4.7005060821168104e-05,80,4,0,2,task02_state35
64,2,0,False,35,64,1.7457393349967276,0.02106073198359959,0.005770340617870302,0.011528695454714173,0.006470002788442523,0.06386660110129916,0.0027521409846352762,7.327435797912623e-05,0.0025306244407801767,0.0006534514043020606,870,5,0,2,task02_state35
64,3,0,False,35,0,0.08510632497096941,0.0,1.0348047590166293e-05,0.006272822778131934,0.001730026883016599,0.055389184403549285,0.0,1.9111168422666423e-06,0.002597835744172246,0.0005850101659283355,0,6,0,2,task02_state35
64,1,0,False,17,0,0.06015070771896629,0.0018819054579230657,8.97142111505787e-06,0.0029599152654609796,0.0009265893185132088,0.03699431201775252,0.0003762257944482134,1.928646208417968e-06,0.0009959617112236829,0.00029320035144605376,0,12,0,3,task03_state17
64,2,0,False,17,0,0.05802219806707828,0.0015302405497601452,1.9248624010950874e-06,0.004491723122515784,0.0015247908812573935,0.03773960631669808,0.0004738152075029257,4.3588850750395904e-07,0.0015878858104318508,0.0004631170552963265,0,6,0,3,task03_state17
64,3,0,False,17,0,0.057208367865455724,0.0012937600494741517,2.8567150782695026e-06,0.005269539590036447,0.0011650729307176773,0.03623297390689158,0.0005140445354602579,6.018267464419561e-07,0.0018319600429658094,0.00047117865821914444,0,7,0,3,task03_state17
64,1,0,False,35,0,0.07731276030680284,0.0005566853339508983,0.0008328576497066769,0.02898407705545496,0.00398297488313601,0.0498265574478607,0.00014884910265684038,0.00024261462316199812,0.007679380165399249,0.0010066734930997815,0,13,41,3,task03_state35
